,Total electric load (kW),Total NG load (kW),Total fuel oil load (kW)
0,785124.688033709,354106.61455962854,274061.85777145135
1,793591.8299835905,365454.9366971648,284232.3502397402
2,835262.8413085041,390320.93698343623,310649.083467773
3,911061.4636926529,424950.5110083068,341425.05478519987
4,980920.4432067305,468127.87833711936,363328.34767805773
5,1008456.2216063342,496136.28886662505,372903.84780859173
6,1169588.9561070832,549419.7183666629,407126.5977937709
7,1243781.4207308511,571530.7861029272,423843.96636826836
8,1186049.7456654904,548440.8145307559,400040.9699636689
9,1181350.5977380488,552894.156928522,394750.7401198853
10,1212015.137759701,575425.4340271581,396989.14736571786
11,1229960.3918336658,568109.8059584778,401930.20451351075
12,1184515.8338294362,566776.1759905206,394149.4562698083
13,1060441.9869632246,489058.3556851663,345812.20001852774
14,957853.1960546648,437576.8342040746,311517.1295321916
15,907999.1379511637,397340.19833707367,285615.40318250144
16,930275.3104445284,397768.21117417165,278502.56990459404
17,972654.4065696427,391330.4082483213,274477.74831804074
18,983653.0969850833,384376.8640277335,274252.88177341345
19,976012.9158703604,373551.5277745068,265590.31912499387
20,1020434.9908211085,381227.25669823197,284173.0859558625
21,982577.4490743955,383832.4219912749,285989.2697832817
22,929298.2590764294,402230.92043038347,292151.7557318207
23,844342.6800949776,382565.8206476019,279540.0187897794
24,824723.3825234335,383353.6950526339,290310.5631666409
25,810365.6038840997,381715.3211432535,293425.72370511654
26,786588.2171547521,378136.029309261,294916.98004201
27,806963.2866812473,373471.24047972617,301859.54148640233
28,834518.6027776201,411374.3751370186,308803.06574334635
29,857447.6096172276,425555.63851664815,316624.4991157177
30,935512.94291073,442178.97561101586,330667.4826164106
31,1008512.9705015082,470597.2337984979,344291.17248665745
32,1052302.257277581,494304.69275415596,352158.30758335773
33,1081181.851001897,508157.1387849979,352674.5517519354
34,1134753.2663675728,524817.4700654363,362734.2820513073
35,1151851.032406008,550613.7515621132,372952.77472974826
36,1178546.8227198943,570393.7667276384,391946.48684496636
37,1150470.491355233,542074.3069950739,383249.08965036785
38,1099234.7578853513,503401.2811552736,363982.120978039
39,1067235.7933145792,504396.3243070106,349211.81958132214
40,1134355.233746685,511205.566039873,358290.7869175884
41,1216725.3140553434,534387.4271915215,372068.6332438744
42,1294651.8760130783,534058.500358866,386498.7702801746
43,1298051.4805804489,538064.3997896542,394120.6376438704
44,1370677.3484736413,575746.5498072805,434847.44810847694
45,1384604.1991221153,617429.136272726,449412.7772891243
46,1399216.6364294726,661939.8223797377,472722.63208003127
47,1368657.6597912223,665095.3836095623,479332.3316047315
48,1395996.289673251,688482.1993007037,508928.24741494603
49,1427643.0973102932,700837.7203022556,527366.247159157
50,1448173.1911523405,724151.1513889908,545355.7777067604
51,1510534.1220262512,747308.6895813146,565193.770708372
52,1567036.2016679812,787010.8064530012,582543.6662585379
53,1650373.0564721925,836698.6042884528,602537.3463575166
54,1713642.7225364058,872387.0242864906,635032.3052780407
55,1794253.629113385,907454.8907769382,653373.6007398445
56,1864216.6428799862,956674.9206770144,677910.7735635513
57,1876788.3748045275,955047.4448878256,680494.5371434572
58,1885710.544025003,982114.4790889411,691264.2358424092
59,1902608.3015623295,994662.1956051128,700750.5311867952
60,1884554.201768897,982911.1970320466,707956.0089786291
61,1811759.771863637,925599.7957587076,654515.5935778875
62,1719445.2406401697,846452.5961789839,603549.6112882458
63,1630338.5598745928,785483.1874700144,550816.992814424
64,1660065.3124979187,786982.8263160503,551243.4699342005
65,1710469.7089592363,808670.4198090036,558526.9866483359
66,1723591.097658205,784290.1194346162,557699.0325240346
67,1727097.1381650812,756908.1727257327,558434.1734746011
68,1769010.2216129138,794655.9869478634,581346.6844274268
69,1798308.4247013468,845645.4696742056,602891.2463820283
70,1786238.6637239815,884721.567653884,623845.2454264801
71,1644125.4461047323,824871.9271328779,598746.4926896741
72,1615463.4119629466,823279.6067003097,604440.7454620806
73,1550680.018790907,792903.2968491451,585363.1403673792
74,1556332.0815611559,800835.1640828256,598128.4648108495
75,1585085.8196071854,807085.4636134759,608524.8122381032
76,1588991.1477608574,823827.2757737649,607862.2827726117
77,1640623.1669587877,855817.0979598738,622732.9174619357
78,1737282.818687603,892956.4482833595,650364.277657759
79,1806266.2651090263,904421.8145538685,657431.904022286
80,1764358.6021410343,889123.5768249864,634643.6649956879
81,1750695.3727183153,857256.7838250278,610896.7055635352
82,1731865.9751683546,873968.7810349494,604893.3661602617
83,1730536.0782766477,877179.6092449076,596369.3016682846
84,1623975.069565552,815359.1041287043,566089.5267836936
85,1426573.8766136398,708416.8628523457,496057.9477894395
86,1290502.2133647443,622500.3281476661,438628.9939932196
87,1150018.700710769,547092.3814721118,383492.100531242
88,1159872.6883901064,532082.703626718,371346.82768493943
89,1183313.9762570846,535235.6151911292,363709.9248722484
90,1186950.5917837494,505178.61335685407,357713.3473383482
91,1186857.8239083185,487214.70108540106,355071.294218974
92,1166587.4001122678,469452.77886509144,361763.1101412586
93,1159314.929344919,492495.7060533251,363103.97427113215
94,1106807.6390291196,511095.9751528505,363289.04358342086
95,1024657.0949502311,487361.8873504768,353991.9377108184
96,985338.9796125274,474522.4668531145,356466.7760557902
97,954271.5132496387,467736.7318968548,355452.8423545946
98,953783.3485928606,467183.7928335455,364054.35246557
99,981933.1777917475,481145.06725150114,376923.99679227656
100,1036677.2183509048,514223.4982329222,390244.5523876727
101,1077829.1998514293,546710.1293262119,401183.03436866123
102,1148840.3298365301,559739.1068802228,415344.0985332332
103,1216864.4214637643,574886.6386032773,427608.2587907823
