,0,1,2,3,4,5
0,6331,2110,1012,1545,1391,3585
1,5661,1909,904,1381,1254,3193
2,5377,1859,871,1316,1207,3027
3,5120,1823,818,1260,1160,2907
4,4901,1847,810,1241,1156,2827
5,5036,1969,862,1305,1251,2937
6,5170,2122,932,1382,1364,3081
7,5473,2339,1006,1511,1489,3266
8,5581,2453,1087,1615,1541,3286
9,6140,2671,1178,1795,1681,3551
10,6539,2840,1297,1945,1733,3784
11,7227,2949,1390,2106,1872,4152
12,7924,3054,1445,2189,1902,4481
13,7994,2908,1362,2129,1832,4453
14,8189,2789,1325,2102,1718,4531
15,8183,2818,1322,2085,1691,4537
16,8417,2939,1383,2156,1787,4690
17,8412,3121,1433,2243,1904,4714
18,10009,3516,1637,2566,2190,5639
19,10012,3466,1634,2528,2190,5634
20,9500,3331,1545,2407,2104,5381
21,9003,3152,1474,2275,2022,5084
22,8319,2963,1374,2117,1880,4672
23,7329,2654,1224,1798,1700,4153
24,5796,2192,1026,1511,1493,3433
25,5353,2123,987,1438,1420,3143
26,5067,2100,964,1401,1351,2983
27,4968,2170,965,1416,1363,2968
28,4859,2219,992,1435,1386,2962
29,5193,2386,1053,1547,1505,3174
30,5566,2618,1165,1704,1679,3468
31,6509,2959,1344,1961,1912,4010
32,6883,3205,1443,2112,2017,4242
33,7339,3317,1507,2244,2125,4504
34,7654,3430,1583,2327,2207,4634
35,8291,3534,1649,2422,2284,4991
36,8807,3608,1700,2493,2331,5224
37,8853,3452,1611,2409,2217,5134
38,9031,3285,1573,2360,2105,5152
39,9797,3397,1623,2458,2144,5556
40,10640,3708,1754,2645,2350,6099
41,11879,4102,1934,2938,2584,6778
42,11429,3987,1889,2860,2590,6728
43,9547,3547,1674,2500,2384,5713
44,8959,3330,1584,2362,2237,5418
45,8273,3160,1500,2209,2113,5060
46,7507,2925,1390,2024,1971,4614
47,6799,2674,1260,1819,1778,4194
48,6201,2505,1163,1726,1645,3915
49,5694,2334,1096,1585,1521,3640
50,5504,2217,1045,1586,1471,3484
51,5421,2261,1040,1546,1423,3464
52,5388,2255,1047,1540,1432,3471
53,5835,2415,1114,1669,1530,3732
54,7333,2814,1335,2025,1804,4663
55,9687,3411,1665,2582,2153,6010
56,10151,3498,1739,2659,2210,6229
57,10014,3408,1727,2616,2243,6091
58,9667,3363,1688,2556,2165,5877
59,9989,3395,1699,2639,2191,6010
60,10270,3403,1767,2673,2212,6115
61,10248,3289,1711,2614,2181,6077
62,10442,3252,1691,2607,2171,6179
63,11163,3326,1754,2731,2199,6594
64,12290,3623,1916,2983,2369,7218
65,13709,4019,2055,3333,2607,8025
66,13801,4064,2073,3334,2721,8265
67,12396,3711,1916,3042,2586,7593
68,11923,3586,1840,2918,2460,7405
69,9115,2939,1486,2256,2035,5664
70,7981,2640,1315,1975,1839,5010
71,7346,2398,1187,1789,1648,4612
72,6779,2265,1108,1680,1494,4138
73,6366,2149,1057,1593,1408,3908
74,6187,2120,1037,1559,1372,3831
75,6149,2142,1033,1572,1378,3851
76,6209,2216,1051,1611,1430,3920
77,6728,2399,1152,1760,1554,4237
78,8533,2929,1425,2214,1889,5377
79,11188,3765,1800,2895,2306,6849
