line_num,from_node,to_node,is_existing,maxFlow,susceptance,length,from_lat,from_lon
0.0,1.0,3.0,1.0,2531.17,344.7087211,20.60673626,44.676311,-69.5035718125
1.0,3.0,1.0,1.0,2501.83,123.6705417,29.46648414,43.4745891,-71.57675739999999
2.0,1.0,3.0,1.0,2438.37,101.3581999,40.41570127,44.676311,-69.5035718125
3.0,0.0,3.0,1.0,2601.13,240.2691014,29.34972544,42.11369385714285,-71.45645871428572
4.0,3.0,0.0,1.0,2570.06,373.2736096,26.72769332,43.4745891,-71.57675739999999
5.0,3.0,0.0,1.0,2751.34,180.0504141,34.15252039,43.4745891,-71.57675739999999
6.0,3.0,0.0,1.0,3158.92,319.284802,26.72769332,43.4745891,-71.57675739999999
7.0,3.0,2.0,1.0,2544.09,92.09799226,39.77070541,43.4745891,-71.57675739999999
8.0,2.0,0.0,1.0,2410.67,217.6752286,29.36291832,44.16137385714286,-72.68527314285714
9.0,2.0,0.0,1.0,2518.72,143.8641922,49.96300339,44.16137385714286,-72.68527314285714
10.0,4.0,0.0,1.0,2400.29,280.8988764,10.66362755,41.6314806,-71.4682568
11.0,3.0,0.0,1.0,2685.46,180.4728388,26.72769332,43.4745891,-71.57675739999999
12.0,0.0,3.0,1.0,2946.6,186.6716446,38.30433427,42.11369385714285,-71.45645871428572
13.0,0.0,5.0,1.0,2417.7,250.438267,23.3299665,42.11369385714285,-71.45645871428572
14.0,4.0,0.0,1.0,2778.79,357.5259206,43.05539743,41.6314806,-71.4682568
15.0,4.0,0.0,1.0,2579.01,420.5214466,10.66362755,41.6314806,-71.4682568
16.0,0.0,4.0,1.0,2599.69,275.9381898,10.66362755,42.11369385714285,-71.45645871428572
17.0,4.0,0.0,1.0,2702.71,295.6830278,43.05539743,41.6314806,-71.4682568
18.0,0.0,4.0,1.0,2645.36,153.1628121,35.68860567,42.11369385714285,-71.45645871428572
19.0,5.0,4.0,1.0,2348.19,243.9619419,21.51469596,41.5965,-72.649332875
20.0,0.0,4.0,0.0,2606.505,239.07638842300003,33.2860915827421,42.11369385714285,-71.45645871428572
21.0,0.0,5.0,0.0,2606.505,239.07638842300003,71.14990347889393,42.11369385714285,-71.45645871428572
22.0,1.0,3.0,0.0,2606.505,239.07638842300003,132.4032250584223,44.676311,-69.5035718125
23.0,1.0,2.0,0.0,2606.505,239.07638842300003,161.40216711211744,44.676311,-69.5035718125
24.0,2.0,3.0,0.0,2606.505,239.07638842300003,72.93023854785149,44.16137385714286,-72.68527314285714
25.0,2.0,0.0,0.0,2606.505,239.07638842300003,154.3975177474071,44.16137385714286,-72.68527314285714
26.0,3.0,2.0,0.0,2606.505,239.07638842300003,72.93023854785149,43.4745891,-71.57675739999999
27.0,3.0,0.0,0.0,2606.505,239.07638842300003,94.13779336961663,43.4745891,-71.57675739999999
28.0,4.0,0.0,0.0,2606.505,239.07638842300003,33.2860915827421,41.6314806,-71.4682568
29.0,4.0,5.0,0.0,2606.505,239.07638842300003,61.21628971763415,41.6314806,-71.4682568
30.0,5.0,4.0,0.0,2606.505,239.07638842300003,61.21628971763415,41.5965,-72.649332875
31.0,5.0,0.0,0.0,2606.505,239.07638842300003,71.14990347889393,41.5965,-72.649332875
