,0,1,2,3,4,5
159,9397,3975,1837,2673,2603,5292
160,9652,4093,1834,2764,2623,5401
161,9475,4103,1824,2729,2708,5321
162,10796,4326,1985,2995,2893,6125
163,10659,4230,1932,2957,2867,6079
164,10045,4047,1829,2783,2735,5810
165,9540,3908,1761,2651,2642,5551
166,8876,3621,1649,2456,2463,5209
167,7841,3292,1487,2217,2230,4629
168,6468,2984,1327,1934,1939,3857
169,5748,2739,1224,1749,1808,3426
170,5460,2677,1182,1689,1741,3288
171,5229,2638,1150,1659,1697,3204
172,5086,2661,1156,1646,1715,3174
173,5261,2758,1212,1712,1783,3296
174,5456,2928,1279,1817,1921,3473
175,5846,3221,1367,1930,2031,3715
176,5976,3236,1411,1980,2064,3808
177,6504,3417,1483,2134,2130,4100
178,6963,3474,1578,2247,2163,4349
179,7584,3554,1645,2385,2177,4704
180,8279,3663,1713,2512,2270,5024
181,8317,3595,1696,2525,2253,5020
182,8513,3557,1683,2523,2202,5093
183,8630,3505,1626,2472,2213,5100
184,8901,3750,1725,2595,2246,5263
185,8852,3830,1732,2574,2333,5238
186,10345,4139,1906,2939,2543,6073
187,10275,4037,1861,2888,2500,6001
188,9734,3760,1754,2713,2365,5682
189,9110,3502,1656,2544,2282,5368
190,8384,3214,1522,2293,2081,4930
191,7290,2857,1335,1986,1823,4295
192,6015,2468,1164,1651,1585,3660
193,5595,2243,1075,1557,1471,3392
194,5364,2221,1047,1520,1423,3255
195,5326,2225,1032,1562,1418,3218
196,5323,2255,1054,1523,1449,3266
197,5819,2513,1165,1714,1583,3572
198,7321,3021,1408,2134,1858,4529
199,9771,3712,1728,2734,2226,5948
200,10338,3771,1795,2779,2365,6199
201,10181,3640,1747,2739,2422,6021
202,9805,3616,1710,2738,2339,5744
203,10105,3794,1795,2819,2414,5857
204,10343,3894,1825,2891,2492,5883
205,10192,3760,1777,2797,2374,5726
206,10302,3672,1742,2787,2291,5752
207,10976,3782,1810,2923,2308,6066
208,12002,4094,1932,3149,2490,6633
209,13261,4506,2099,3442,2753,7303
210,13416,4479,2141,3473,2872,7516
211,11808,4146,1977,3130,2657,6758
212,11289,3919,1882,2979,2571,6531
213,8864,3296,1577,2413,2240,5122
214,7735,2971,1405,2086,2052,4524
215,6942,2655,1273,1891,1807,4086
216,6164,2533,1189,1743,1710,3699
217,5624,2411,1125,1641,1633,3404
218,5378,2405,1092,1596,1627,3265
219,5350,2422,1078,1585,1626,3262
220,5333,2478,1091,1596,1663,3278
221,5825,2677,1179,1737,1792,3574
222,7218,3071,1392,2101,2075,4488
223,9571,3696,1709,2653,2482,5919
224,10124,3812,1781,2806,2578,6238
225,10013,3778,1758,2793,2603,6072
226,9726,3759,1764,2754,2570,5813
227,10102,3888,1807,2809,2597,5920
228,10386,4020,1868,2859,2668,5988
229,10231,3902,1803,2788,2592,5861
230,10373,3763,1788,2785,2480,5923
231,11182,3826,1875,2954,2512,6414
232,12246,4173,2038,3210,2719,7053
233,13535,4662,2195,3526,2984,7730
234,13351,4648,2214,3489,3076,7812
235,11656,4390,2033,3155,2899,6951
236,11182,4193,1964,3001,2807,6663
237,8982,3629,1711,2485,2495,5364
238,7951,3399,1582,2235,2354,4793
239,7210,3152,1477,2059,2172,4341
240,6324,2968,1373,1917,1995,3881
241,5884,2861,1316,1820,1910,3619
242,5669,2878,1314,1794,1902,3514
243,5642,2915,1311,1797,1921,3520
244,5641,3010,1343,1835,1970,3562
245,6147,3211,1445,1984,2095,3894
246,7575,3762,1678,2357,2402,4829
247,9990,4456,1991,2922,2820,6292
248,10539,4591,2102,3074,2932,6567
249,10464,4565,2082,3095,2967,6447
250,10172,4512,2079,3047,2942,6167
251,10519,4578,2147,3117,3042,6321
252,10798,4637,2167,3163,3090,6338
253,10660,4423,2047,3045,2956,6106
254,10851,4234,1991,3023,2815,6112
255,11646,4390,2038,3159,2802,6520
256,12709,4701,2204,3398,2998,7147
257,13914,5126,2384,3703,3255,7840
258,13822,5067,2391,3704,3312,7904
259,12194,4774,2208,3366,3136,7090
260,11696,4662,2143,3234,3063,6854
261,9490,4106,1892,2716,2740,5651
262,8409,3803,1772,2461,2563,5062
263,7639,3633,1678,2292,2429,4600
264,6627,3481,1604,2124,2245,4080
265,6200,3414,1560,2034,2204,3826
266,5955,3424,1539,2005,2198,3721
267,5877,3460,1523,2009,2221,3717
268,5828,3538,1553,2036,2276,3712
269,6275,3709,1635,2182,2387,3982
