,0,1,2,3,4,5
161,8893,3012,1382,2223,1835,4724
162,10229,3285,1549,2504,2048,5559
163,10112,3211,1509,2466,2035,5541
164,9505,3027,1418,2309,1969,5260
165,9020,2897,1345,2163,1874,5016
166,8344,2608,1237,1953,1701,4647
167,7310,2273,1068,1707,1465,4051
168,5954,1984,916,1421,1213,3271
169,5247,1791,834,1263,1095,2860
170,4981,1759,807,1215,1058,2728
171,4763,1725,783,1191,1034,2634
172,4620,1747,784,1182,1036,2611
173,4794,1857,844,1250,1112,2728
174,4992,2008,919,1356,1236,2907
175,5381,2303,1008,1472,1352,3146
176,5508,2325,1047,1526,1408,3251
177,6035,2488,1119,1683,1472,3562
178,6483,2534,1203,1789,1501,3826
179,7095,2622,1260,1931,1565,4179
180,7800,2728,1326,2064,1645,4523
181,7867,2714,1322,2096,1609,4547
182,8142,2730,1334,2115,1589,4630
183,8215,2804,1347,2123,1636,4662
184,8505,2943,1432,2207,1695,4829
185,8468,3052,1441,2254,1799,4824
186,9983,3412,1630,2574,2047,5678
187,9929,3320,1591,2531,2026,5631
188,9414,3118,1511,2390,1925,5345
189,8808,2881,1423,2220,1844,5042
190,8086,2579,1289,2017,1660,4598
191,7008,2236,1103,1724,1423,3976
192,5747,1883,944,1400,1209,3358
193,5338,1801,900,1324,1134,3120
194,5112,1778,880,1292,1095,3004
195,5082,1811,877,1298,1099,2932
196,5076,1838,904,1316,1130,2942
197,5567,2020,985,1466,1255,3218
198,7071,2530,1234,1791,1547,4176
199,9524,3013,1506,2395,1941,5599
200,9979,3082,1578,2490,1952,5875
201,9824,3042,1557,2451,1989,5714
202,9446,3027,1523,2399,1894,5424
203,9724,3069,1564,2480,1951,5524
204,10075,3130,1590,2545,2077,5540
205,9909,3216,1587,2564,2010,5355
206,10027,3148,1559,2565,1948,5459
207,10718,3275,1635,2708,1983,5789
208,11744,3605,1762,2935,2172,6377
209,13002,4021,1931,3229,2431,7050
210,13165,4004,1974,3270,2573,7261
211,11561,3672,1807,2919,2349,6502
212,11053,3455,1716,2775,2270,6205
213,8624,2830,1408,2114,1906,4840
214,7476,2474,1223,1818,1670,4187
215,6677,2046,1053,1611,1471,3743
216,5897,1898,964,1448,1329,3364
217,5326,1792,906,1347,1187,3079
218,5097,1776,880,1302,1101,2941
219,5029,1787,872,1286,1098,2919
220,4993,1819,878,1283,1113,2916
221,5473,2000,963,1418,1226,3196
222,6859,2368,1164,1773,1465,4110
223,9212,2980,1479,2328,1866,5533
224,9760,3112,1558,2477,1970,5854
225,9644,3072,1538,2456,1985,5690
226,9354,3022,1538,2413,1951,5422
227,9715,3153,1577,2469,1981,5529
228,9975,3235,1618,2510,2037,5579
229,9838,3124,1545,2438,1951,5443
230,10009,3053,1555,2457,1889,5508
231,10843,3143,1650,2628,1945,5995
232,11894,3467,1801,2885,2128,6627
233,13169,3946,1950,3195,2393,7311
234,12981,3931,1965,3156,2507,7400
235,11272,3648,1775,2821,2325,6548
236,10792,3437,1714,2674,2253,6272
237,8536,2824,1426,2132,1910,4947
238,7455,2531,1272,1846,1716,4354
239,6686,2224,1152,1651,1493,3882
240,5796,2022,1041,1496,1306,3415
241,5357,1926,987,1400,1228,3144
242,5131,1897,977,1357,1197,3031
243,5086,1918,973,1354,1187,3010
244,5059,1956,998,1369,1212,3010
245,5542,2128,1093,1501,1311,3297
246,6945,2627,1303,1860,1592,4207
247,9334,3299,1607,2418,1988,5641
248,9885,3402,1702,2541,2073,5888
249,9786,3343,1665,2551,2076,5751
250,9465,3234,1642,2470,2018,5436
251,9779,3256,1684,2523,2071,5560
252,10054,3313,1701,2586,2102,5600
253,9966,3202,1617,2527,2025,5423
254,10207,3126,1599,2558,1980,5482
255,11035,3331,1668,2722,2026,5929
256,12085,3626,1820,2959,2225,6551
257,13275,4022,1984,3247,2481,7224
258,13156,3941,1968,3227,2535,7271
259,11507,3588,1767,2871,2344,6431
260,10995,3440,1683,2720,2278,6168
261,8728,2806,1395,2158,1887,4918
262,7595,2419,1241,1851,1658,4290
263,6795,2181,1113,1650,1486,3796
264,5740,1959,1003,1455,1260,3238
265,5279,1852,931,1338,1223,2966
266,5021,1792,891,1279,1215,2841
267,4921,1780,869,1256,1186,2793
268,4840,1806,878,1253,1193,2753
269,5271,1945,951,1374,1277,3011
270,6748,2377,1138,1715,1555,3874
271,8996,3219,1483,2321,1932,5232
272,9634,3362,1536,2425,2019,5515
273,9732,3349,1527,2458,2028,5468
274,9551,3305,1506,2463,2008,5302
275,9939,3412,1576,2570,2036,5602
276,10315,3464,1624,2696,2068,5705
277,10364,3392,1565,2646,2036,5611
278,10653,3417,1561,2660,2051,5697
279,11494,3610,1644,2823,2122,6199
280,12521,3838,1779,3053,2327,6807
281,13576,4145,1906,3285,2504,7424
282,13063,4100,1897,3265,2492,7228
283,11298,3715,1716,2890,2330,6341
284,10714,3506,1615,2723,2220,6071
285,8650,2818,1329,2146,1929,4921
286,7575,2444,1176,1851,1700,4285
287,6814,2185,1048,1631,1481,3807
288,6073,1996,952,1448,1344,3383
289,5562,1850,878,1340,1238,3094
290,5285,1822,851,1287,1182,2946
291,5148,1825,835,1276,1145,2892
292,5006,1857,840,1277,1135,2824
293,5451,1990,894,1398,1219,3070
294,6530,2337,1047,1690,1397,3753
295,8607,2943,1322,2177,1740,4896
296,9350,3145,1433,2354,1886,5212
297,9489,3214,1461,2446,1976,5248
298,9318,3239,1462,2411,1974,5085
299,9528,3306,1494,2480,2029,5245
300,9827,3374,1549,2543,2017,5428
301,9787,3312,1538,2485,1976,5429
302,10009,3311,1538,2479,1992,5597
303,10923,3407,1590,2619,2093,6153
304,12154,3601,1732,2845,2271,6829
305,13405,3938,1886,3115,2516,7496
306,12830,3916,1869,3087,2497,7347
307,10970,3493,1662,2720,2280,6394
308,10438,3335,1573,2560,2168,6092
309,8515,2782,1314,2064,1886,5040
310,7554,2433,1180,1831,1678,4529
311,6941,2218,1067,1625,1514,4152
312,6712,2116,1030,1564,1437,3882
313,5959,1945,942,1408,1301,3431
314,5673,1918,923,1356,1254,3277
315,5477,1897,907,1335,1230,3189
316,5319,1929,918,1342,1238,3101
317,5547,1844,913,1440,1304,3234
318,5758,1995,990,1444,1399,3408
319,6201,2232,1087,1606,1551,3745
320,6534,2451,1191,1764,1687,3922
321,7057,2626,1271,1921,1806,4245
322,7500,2722,1363,2039,1866,4478
323,8069,2880,1428,2158,1900,4788
324,8607,3317,1559,2279,1989,5081
325,8556,3217,1552,2350,1917,5028
326,8712,3189,1584,2385,1924,5043
327,8654,3263,1564,2288,1936,5043
328,8934,3420,1626,2456,2031,5236
329,8796,3199,1582,2462,2076,5187
330,10050,3435,1741,2650,2250,5966
331,9916,3355,1716,2620,2257,5962
332,9424,3238,1645,2479,2121,5633
333,8890,3039,1556,2333,1989,5352
334,8231,2799,1465,2123,1786,4954
335,7465,2444,1305,1885,1597,4441
336,6734,2240,1139,1712,1441,3896
337,6143,2040,1053,1568,1349,3569
338,5915,2005,1040,1524,1307,3461
339,5787,2014,1028,1517,1289,3432
340,5757,2053,1057,1533,1305,3444
341,6030,2166,1098,1606,1388,3642
342,6335,2343,1145,1695,1534,3888
343,6718,2495,1243,1792,1687,4195
344,7012,2515,1269,1847,1728,4308
345,7532,2660,1314,1964,1779,4581
346,7867,2911,1398,2037,1797,4780
347,8443,3058,1470,2140,1879,5007
348,9041,3192,1543,2389,1931,5277
349,9136,3140,1528,2375,1906,5315
350,9422,3147,1545,2377,1917,5452
351,9587,3194,1540,2406,1935,5538
352,10003,3326,1607,2536,2052,5832
353,9756,3453,1654,2540,2127,5675
354,11166,3797,1836,2805,2369,6498
355,11113,3758,1856,2831,2315,6455
356,10505,3308,1690,2671,2227,6095
357,10049,3211,1639,2505,2095,5885
358,9192,2908,1524,2263,1939,5411
359,8265,2528,1342,2093,1675,4801
360,6665,2066,1088,1692,1390,3994
361,6326,1977,1021,1609,1303,3802
362,6089,1943,992,1562,1259,3674
363,6045,1942,986,1551,1249,3675
364,5980,2170,1046,1549,1263,3655
365,6306,2278,1110,1634,1328,3886
366,6899,2489,1215,1808,1487,4247
367,8133,2840,1398,2112,1733,4883
368,8758,2990,1470,2270,1879,5268
369,9101,3037,1490,2362,1926,5417
370,9051,3094,1491,2354,1909,5324
371,9498,2888,1482,2414,2016,5546
372,9876,2976,1567,2383,2108,5714
373,9828,2879,1510,2350,2038,5651
374,10049,2926,1517,2355,1941,5747
375,10949,3077,1595,2534,2066,6173
376,12023,3372,1738,2759,2250,6725
377,12857,3737,1900,2990,2457,7178
378,12409,3661,1867,2939,2481,7075
379,10402,3253,1636,2562,2246,6059
380,9717,3068,1541,2387,2127,5702
381,9043,2901,1470,2220,1981,5347
382,8169,2609,1358,1989,1818,4839
383,7437,2353,1239,1794,1659,4384
384,6264,2127,1116,1572,1481,3746
385,5832,2032,1071,1478,1372,3483
386,5593,2000,1051,1419,1337,3363
387,5536,2027,1057,1418,1340,3348
388,5494,2083,1096,1422,1356,3340
389,5957,2275,1197,1567,1477,3639
390,7503,2805,1446,1969,1783,4555
391,9824,3506,1796,2548,2194,5857
392,10235,3581,1848,2656,2279,6154
393,10201,3508,1830,2626,2292,6095
394,9884,3458,1824,2556,2226,5838
