,0,1,2,3,4,5
159,8942,2987,1713,2266,1859,4879
160,9228,3142,1726,2367,1917,5022
161,9058,3173,1702,2339,2014,4941
162,10379,3433,1860,2621,2214,5759
163,10241,3364,1785,2576,2199,5723
164,9627,3142,1701,2395,2097,5458
165,9133,2978,1621,2249,1987,5199
166,8440,2690,1507,2029,1806,4835
167,7399,2337,1336,1780,1546,4223
168,6040,2066,1197,1497,1293,3447
169,5340,1875,1108,1330,1158,3040
170,5086,1838,1088,1281,1123,2915
171,4864,1799,1051,1244,1074,2818
172,4714,1791,1053,1216,1076,2757
173,4875,1860,1091,1274,1126,2847
174,5045,1980,1117,1358,1232,2994
175,5421,2228,1188,1453,1329,3207
176,5525,2246,1202,1509,1376,3327
177,6053,2412,1265,1665,1443,3637
178,6509,2451,1366,1778,1477,3890
179,7118,2540,1433,1926,1551,4245
180,7816,2663,1504,2070,1652,4585
181,7886,2643,1479,2091,1608,4584
182,8153,2656,1475,2097,1568,4649
183,8208,2713,1454,2092,1593,4669
184,8504,2853,1540,2177,1654,4852
185,8473,2961,1547,2234,1774,4846
186,9995,3341,1740,2556,2038,5713
187,9941,3250,1679,2522,2056,5680
188,9417,3013,1589,2362,1951,5388
189,8795,2778,1506,2196,1829,5074
190,8062,2485,1372,1981,1639,4627
191,6973,2105,1176,1681,1393,3977
192,5702,1752,1013,1361,1164,3360
193,5287,1669,960,1276,1081,3113
194,5064,1624,934,1239,1037,2988
195,5020,1635,916,1226,1014,2971
196,5002,1633,947,1226,1024,2969
197,5485,1773,1018,1366,1120,3236
198,6985,2289,1245,1779,1394,4184
199,9421,2945,1559,2372,1778,5588
200,9966,2975,1619,2446,1886,5865
201,9815,2937,1593,2406,1906,5691
202,9432,2916,1571,2357,1805,5402
203,9698,2947,1600,2427,1847,5490
204,9917,2989,1617,2493,1914,5502
205,9783,2880,1541,2417,1807,5334
206,9919,2897,1543,2463,1810,5374
207,10631,3067,1622,2628,1868,5724
208,11651,3407,1755,2856,2040,6302
209,12907,3806,1914,3142,2282,6965
210,13074,3779,1956,3189,2413,7182
211,11476,3446,1780,2829,2192,6406
212,10946,3174,1683,2667,2099,6194
213,8512,2557,1379,2076,1733,4812
214,7354,2191,1196,1778,1503,4161
215,6554,1937,1076,1564,1305,3705
216,5769,1784,984,1397,1168,3331
217,5295,1690,930,1302,1076,3046
218,5067,1670,908,1256,1047,2913
219,5000,1683,897,1233,1026,2887
220,4963,1706,918,1230,1034,2886
221,5439,1871,996,1356,1130,3160
222,6823,2241,1187,1715,1380,4074
223,9171,2848,1502,2266,1788,5490
224,9715,2966,1600,2422,1873,5832
225,9595,2927,1583,2397,1885,5679
226,9312,2881,1596,2360,1840,5416
227,9666,3004,1629,2415,1855,5506
228,9914,3071,1665,2453,1917,5540
229,9784,2973,1570,2371,1841,5385
230,9955,2915,1573,2395,1794,5445
231,10784,2999,1645,2567,1852,5926
232,11835,3312,1781,2808,2027,6546
233,13102,3780,1922,3117,2304,7212
234,12894,3737,1924,3075,2384,7289
235,11191,3454,1726,2748,2211,6438
236,10713,3254,1675,2594,2125,6165
237,8455,2625,1395,2049,1767,4852
238,7367,2323,1239,1753,1552,4243
239,6586,1985,1111,1554,1320,3767
240,5685,1784,995,1394,1131,3289
241,5244,1693,928,1297,1051,3019
242,5008,1649,907,1247,1008,2901
243,4950,1657,889,1232,989,2865
244,4916,1675,909,1237,1000,2858
245,5389,1820,984,1357,1110,3132
246,6770,2295,1183,1708,1374,4033
247,9149,2940,1474,2257,1752,5446
248,9713,3013,1545,2365,1834,5684
249,9610,2953,1501,2371,1833,5545
250,9282,2839,1482,2301,1769,5230
251,9586,2905,1531,2372,1816,5328
252,9874,2948,1546,2428,1849,5404
253,9793,2868,1476,2382,1791,5261
254,10057,2845,1481,2427,1780,5344
255,10884,3044,1547,2585,1854,5793
256,11936,3337,1697,2830,2058,6402
257,13131,3740,1866,3120,2298,7075
258,13021,3673,1847,3100,2361,7124
259,11372,3317,1648,2746,2163,6288
260,10861,3181,1574,2600,2109,6039
261,8582,2520,1284,2031,1726,4776
262,7456,2127,1122,1719,1488,4130
263,6656,1899,981,1519,1280,3629
264,5605,1687,876,1330,1077,3077
265,5151,1611,817,1222,1000,2817
266,4901,1552,784,1170,956,2707
267,4801,1556,768,1150,935,2653
268,4737,1583,783,1149,936,2611
269,5161,1715,847,1262,1017,2869
270,6529,2179,1050,1619,1290,3726
271,8775,2765,1334,2117,1671,5095
272,9402,2909,1383,2217,1738,5357
273,9512,2904,1387,2245,1745,5337
274,9330,2838,1366,2257,1732,5168
275,9720,2955,1431,2362,1766,5361
276,10090,3000,1476,2488,1811,5462
277,10151,2959,1434,2448,1798,5385
278,10458,3027,1451,2488,1821,5498
279,11318,3233,1544,2662,1884,6022
280,12351,3459,1674,2892,2088,6633
281,13401,3790,1797,3132,2291,7242
282,12903,3777,1799,3124,2290,7054
283,11151,3392,1623,2757,2120,6170
284,10559,3176,1510,2587,2014,5903
285,8491,2479,1215,1992,1723,4751
286,7412,2087,1059,1687,1483,4104
287,6635,1814,920,1468,1255,3616
288,5896,1629,823,1283,1127,3191
289,5389,1507,759,1180,1032,2906
290,5121,1472,730,1126,975,2757
291,4979,1466,715,1106,936,2703
292,4832,1488,718,1101,920,2625
293,5269,1603,767,1210,987,2857
294,6340,1936,914,1500,1153,3527
295,8410,2524,1183,1982,1487,4665
296,9142,2735,1302,2157,1632,4985
297,9293,2792,1323,2239,1708,5017
298,9109,2797,1316,2205,1694,4849
299,9320,2858,1349,2270,1756,5018
300,9611,2915,1396,2334,1740,5241
301,9600,2898,1410,2294,1714,5298
302,9887,3014,1499,2339,1727,5512
303,10839,3150,1594,2507,1881,6110
304,12079,3358,1753,2746,2086,6792
305,13335,3730,1912,3030,2365,7466
306,12765,3700,1892,3017,2349,7326
307,10915,3288,1681,2658,2163,6376
308,10382,3141,1606,2497,2060,6083
309,8465,2600,1372,2004,1785,5039
310,7506,2267,1248,1774,1592,4526
311,6887,2038,1136,1564,1423,4143
312,6661,1956,1110,1508,1356,3955
313,5920,1801,1035,1362,1227,3509
314,5632,1769,1017,1305,1184,3359
315,5440,1743,1005,1274,1151,3272
316,5287,1760,1044,1275,1141,3191
317,5512,1869,1084,1369,1199,3316
318,5820,2028,1160,1466,1286,3502
319,6263,2250,1257,1624,1436,3833
320,6482,2472,1367,1780,1562,4010
321,7007,2641,1449,1920,1664,4337
