,Total electric load (kW),Total NG load (kW),Total fuel oil load (kW)
0,236321.09576255362,111041.44618278785,342625.6173442166
1,225001.72808090402,112083.23226125601,334475.4459920132
2,229113.63410835536,115766.30012329992,369307.19566509913
3,234252.8636722038,122212.04585907733,382428.7544073876
4,241040.58350058363,128019.4588366541,400018.31627852726
5,265995.7422975537,139224.31153775816,413259.40845932247
6,374487.0160911249,105854.279364387,251273.63680189778
7,389096.64172169054,89032.04605990135,249200.9800033802
8,386531.15971588925,88537.98728147495,270448.60408431606
9,385165.3155901869,93553.68743322593,262224.6427322237
10,398580.20915636123,85579.85826641227,216596.32613658762
11,393656.7289392722,85531.97937772857,209984.91553162024
12,383908.97568544693,148729.93488893867,260715.66894162286
13,365380.3924509658,147949.10758356235,304391.54902515345
14,363664.9197799493,147471.67851876855,323033.1189190067
15,362704.1884524237,156425.1480591466,311594.4119674994
16,401003.9355877394,156817.06357659493,306627.4483759364
17,415203.1707235413,151374.43051989254,299297.58000501787
18,438254.9804521664,148740.72534378176,317734.99473731336
19,431728.4470448631,158317.11137229542,368089.83861808956
20,421802.9224301107,171741.5074904914,424567.9249267274
21,408415.6265335605,180233.6044996402,468746.10849627096
22,363554.24007832096,191763.71522333001,488111.8000789241
23,320465.9055297833,179969.11025998226,516071.9506193847
24,305776.3737768463,177463.61465620573,553235.6433799565
25,310823.69729393086,187335.13466301587,581306.5076414718
26,311868.0321500176,187346.68028292462,615794.456991879
27,338723.3736533097,208421.4148766154,684600.4517429359
28,359620.5913227036,221265.30092470202,745077.0615283169
29,396102.33816646424,239984.08644625093,793033.9744477813
30,450413.7002052568,257711.52777808,837279.1063584426
31,470478.1736187608,250172.92509560523,872473.9448473231
32,485456.74791898555,274240.317375028,887277.0419977559
33,507277.66821010254,292752.81283883203,897347.1695609457
34,515609.6541650818,300827.4074793787,932807.4406619092
35,500861.14363162155,301495.8688717277,958391.3272594766
36,491996.51858732186,296797.6081366491,947991.1974431328
37,459181.4265724713,270961.3386543198,831848.6602348081
38,422242.78353053523,237311.81034578214,731013.2694174247
39,402002.05477856874,208427.4440011257,608315.1139565372
40,424454.5448442272,202616.72037290767,583070.9768661885
41,484545.0518199156,199397.36887260043,562008.291034617
42,504945.7669556404,207372.28960962253,567112.1637679485
43,511053.4857537088,205059.1856010369,580639.2519395069
44,488052.88090851996,219042.82435833826,635780.9505807558
45,469898.8943609325,228429.27370122808,686312.2664885176
46,423428.1482094555,233875.8315917923,686342.1503906448
47,374838.8206440954,218557.98127313424,716135.2572410206
48,343332.45667357265,203816.03779834273,689119.2247328406
49,331531.0757643537,203584.52621123716,677636.5135856394
50,326960.5362732897,201343.1063599762,697161.5712570797
51,333097.1030005922,211041.0234623732,720632.7236139969
52,342915.8266077173,218567.5916262546,743133.0458425108
53,372935.15615036496,231274.21350780086,765225.6558378944
54,415781.3130117639,247092.3487360339,760456.5762551689
55,455520.31629127223,237720.11645064733,766275.5833972449
56,456736.9996577104,234472.82182899123,743509.2721898855
57,452384.43423037644,262429.39176783786,729016.2164130101
58,456391.8279754212,250370.18633136965,731457.1499653001
59,440421.892214437,247800.79382811597,722415.2815762827
60,425028.7531657674,236406.9167291669,708091.9779257647
61,403679.2406764252,214809.2883208236,654529.5430401819
62,405562.28492534003,201803.31612373877,587460.8389444589
63,396936.76055041444,190889.77962741218,511725.0394087134
64,420946.2162148964,192155.57459480406,499867.49549032404
65,459576.1443292444,184480.37186507595,480443.21463573584
66,475881.0731927825,174166.6807106193,458399.90634990047
67,481957.0846571099,174836.73255705668,464328.8411141966
68,441741.5561235778,177779.28034450117,487247.7557549187
69,425597.93063495174,190271.04050270928,514021.7512440849
70,369018.42524091963,185725.97807716706,508827.8285148746
71,316672.5464309637,165015.01788759523,509680.2146271147
72,285467.8299234328,149114.016597763,501427.35216241726
73,278883.0283985305,152091.4389091907,503299.84667431866
74,281248.278557038,155225.74149378808,522324.9932976239
75,283479.5865266827,161882.99683681948,536493.9833244733
76,293901.3667299956,165425.7081927289,552156.0724185703
77,322985.0293370426,176731.16329891965,574159.2568210402
78,359935.57326674776,179824.37411752137,571080.2129920286
79,380523.0211226364,171901.02348121937,592400.3500194245
80,387767.3204825019,180194.5559689936,580898.2442651978
81,401573.27533683885,197244.96284666538,576099.4063213201
82,399936.4726357045,199739.17858762466,586364.2727367295
83,410444.00131150754,205861.56356084006,585764.9693515871
84,395545.408088129,199948.89699404308,580840.3511925666
85,384300.2399857236,164101.07508952514,463670.02015838964
86,373511.696339227,141060.11217208934,353812.7517817233
87,419477.6112676355,84685.52675896583,220027.3980880547
88,426193.50978821336,91987.89661479811,211279.03026836246
89,457762.09710945503,91148.00364612209,200886.4796855516
90,478483.55242550466,87953.11214068213,190671.43717242908
91,485810.273401761,86935.61815755095,204019.11405031008
92,426159.26322855015,128471.40540046892,291186.5344603055
93,403475.37171774247,132641.06545047235,322126.2283018109
94,329832.0517548401,146768.5348586413,363881.81342324254
95,291858.31072884257,134401.76632614652,382763.21621018567
96,258655.82968893275,130375.61473236413,396986.3871946406
97,253771.5944925965,128523.93635851998,401578.98204174987
98,257079.82338388579,131874.4876391801,428865.00567799027
99,272377.0151422649,143373.564824701,476936.5273039447
100,281995.27310300624,151126.80960467158,501406.5009845817
101,311812.57995939883,163974.67609177486,526374.1067582658
102,352287.9890678944,173665.78840574724,551772.1714341927
103,396328.86290440505,180286.82457433065,578474.4087076703
104,401472.14007712016,179853.57267525088,592064.1790049757
105,406586.7519826488,209065.5436543448,591978.9578630509
106,412912.4279465624,216493.84716484827,615364.6510525903
107,412129.968859757,211797.2901280635,622574.1436272357
108,412189.5842092285,197701.66097074575,612851.589382702
109,382525.3756488443,172522.6324928701,541908.6875832357
110,357308.3939748433,152937.41496736623,486516.1603829783
111,427904.7275839849,81254.35712887817,236127.09644973293
112,458240.11898267834,82804.51481178451,231188.04481607318
113,484600.35194694216,82938.13178490111,212317.44738211605
