,Total electric load (kW),Total NG load (kW),Total fuel oil load (kW)
0,310013.42619200156,926077.7561561192,588650.9719782243
1,278932.8003172296,971602.4517029697,629335.3953354233
2,268317.94393235125,1007310.6504317138,638281.8450696093
3,270769.4303907393,1048717.1574065336,635542.6408868476
4,280798.48657029285,1052693.527792277,661851.8519398065
5,313080.92448065797,1073439.744313729,674750.2671690179
6,382132.17453267815,1219357.124737816,706798.5419240001
7,432507.2560042978,1208758.851524332,691416.7474124685
8,433112.75622381637,1242123.168861932,742968.3903405787
9,441915.90546740015,1348550.741795247,758240.333352684
10,465156.7192810449,1400866.0190882424,814619.9763588681
11,463158.9417720346,1317011.1065222726,825195.6310708273
12,474663.2850045177,1387991.763181833,846937.4314749172
13,452694.2068831395,1192364.7393041938,735469.3366419455
14,410261.2249394815,1012610.8421039192,630521.5733351009
15,412689.3910985474,882873.6116000013,554668.1194606003
16,469625.6062764678,916572.490476762,530803.4405406329
17,526616.3665480131,915276.0175831842,526952.8625674743
18,548375.2853241374,916699.7164936713,511324.4283262694
19,547829.7265193784,971382.7103506573,512262.17541844683
20,527886.7520795088,1108574.1667516665,596708.9162719899
21,501717.2045124316,1172670.50708369,657347.6565072065
22,435091.39868513745,1210659.2081853708,703233.7265165015
23,330351.90421785665,1151272.0792707463,671824.7550356663
24,299740.07057319407,1066806.6294137645,664273.5420781022
25,281214.4640850384,1061377.4940030207,684284.1655136234
26,271549.74782424286,1118078.633494544,703062.5051650133
27,286481.05873805337,1253151.5495525447,749611.8376468295
28,303040.3471970181,1269333.7023127244,785660.4383841031
29,317875.40533696656,1301086.4723220922,807739.7676414285
30,388913.3224736777,1438246.7521628728,849182.4364632297
31,440212.4532449118,1499714.1234858022,869433.921004069
32,479563.20977486484,1501058.3523832364,872004.3863197193
33,484307.1764238344,1577419.4235983095,886972.538250924
34,498858.0389865984,1589473.4048067327,914228.6200303305
35,469951.6886881084,1526388.1755295245,912492.0402193778
36,459399.55766329105,1568711.7614289084,934493.6635700519
37,444935.8228870745,1543858.0959392197,905418.025207238
38,426050.4855559259,1472908.3553604723,854156.2696514798
39,420181.45556124696,1402476.3061734892,828442.0084131596
40,487447.9224932554,1409052.0512962807,818854.8911280417
41,557816.9528981762,1365182.4236166978,800724.1093815
42,584037.4146282253,1294870.466662604,749412.9435849373
43,576819.1127072345,1264521.1744366612,688685.9611007015
44,525670.4468758382,1300867.366966074,717264.2565965103
45,473554.89614714513,1288315.2969170024,715942.1624864354
46,430240.8468298454,1272570.3587764786,735736.9715764573
47,347202.81313444,1258266.513887566,730195.4477368828
48,300903.86495877075,1163134.9353761121,716132.7411534286
49,285193.3598133796,1131346.5381753591,713867.6267211814
50,276586.4864745717,1183372.1906484303,722213.1987543174
51,282203.6785798352,1260382.1366075932,739292.8969940773
52,292529.70745879965,1261179.6452435735,765730.045403782
53,313987.6960149939,1343703.4273799618,799320.7754817964
54,382279.5759805407,1424131.3637102726,818386.5902029824
55,447359.2474200054,1471423.7912753148,810285.5293596337
56,450610.253821398,1439957.3303116695,824125.697892802
57,445015.2861921083,1494644.1914898881,828658.4467532757
58,447448.36871319916,1539510.23958362,847418.9615465265
59,444068.25691096653,1402741.0369701034,847225.5829328891
60,456338.03974464023,1459530.4244690945,848046.9921563731
61,442596.0839736581,1309691.4011500776,773238.2193780121
62,425395.248435142,1218156.458985087,720662.9831352454
63,455505.89680723654,1171329.1046824597,678578.7580103147
64,498013.6978686939,1166929.1971127694,653774.4180942267
65,539397.5105031085,1144932.1161531769,633564.2602282707
66,565572.4613624673,1054971.121741679,593679.8544574239
67,540345.0023099973,1052641.104051467,568855.6287912184
68,503661.9417409529,982900.9254803173,533940.0521334365
69,481195.4102722843,943959.1998422216,532267.636369797
70,439951.159746285,911497.4839876033,529341.2029937406
71,335077.6964165842,876369.3797394562,501637.67731707374
72,286251.3574528224,758919.7545942342,477283.05154348677
73,263050.40315321845,719116.8406440946,473208.1581794037
74,254004.93780283286,743727.3641107198,476488.666940508
75,258217.52173115127,764922.3249441853,465799.89231297205
76,263020.2393762746,786674.935117856,486113.52051401354
77,294969.5068401553,805976.6246147602,500018.88495491433
78,339515.810050669,862398.204905896,502307.57199008565
79,426996.32110163383,881749.3185754599,492372.81020487985
80,400867.72246134013,860444.3302426388,486766.48992352915
81,427277.0427535174,899431.0912759842,493333.3910940488
82,428888.33817634,920230.6122153538,520856.0512048656
83,411943.27895723324,866986.8216445026,521921.3462470269
84,421583.13909640576,883085.3805598253,537245.1692766926
85,365983.37420303666,810697.8483794477,497958.5811376571
86,354228.2707138066,726898.3868994573,424104.5614561375
87,361715.4809178284,678585.396874615,393603.75286141137
88,402218.72547347384,697797.7666808302,398475.30687964434
89,502160.84183971654,730494.7246833617,380494.2226876044
90,549238.5690460141,731889.8094199196,397614.1755720929
91,529330.3165077483,806635.2347784593,418345.82515766146
92,502668.4411726001,882683.8238493269,457809.2495392504
93,474843.04246119363,890117.7102529777,493984.1319642617
94,418520.37706377276,940140.8665659307,543327.1114874668
95,336368.24626375374,923430.075219099,546619.1996268475
96,283234.8668935195,899664.9448256511,575228.9420722111
97,266232.5476088091,934495.2105353869,612640.7292452424
98,263090.1537672435,1009274.8483248502,652972.0996834761
99,274590.9192557252,1132414.5171081142,701517.3381836468
100,288735.80727164017,1183766.6468664147,756599.1711144908
101,327570.6200526573,1315058.7120885921,817159.3457210184
102,393799.58727312234,1404009.9828360004,843835.380688517
103,436709.77303982363,1462403.8152246592,863895.6229798932
104,457619.6780776794,1484369.3168124976,876899.0964143224
105,468582.9153853004,1514983.3548443369,882972.0128249786
106,488122.68870181794,1595964.799823204,921350.1153316207
107,497330.848301934,1483536.9623022424,940327.1525107729
108,475401.66420932504,1560823.19709838,962506.3227578051
109,456448.2920673099,1561102.5391186562,965162.0524446669
110,434282.78635189077,1491333.5591877417,906972.8668345665
111,450590.5283172527,1469645.470719583,894319.9237362448
112,485245.0344395216,1493767.44932942,892780.4633868656
113,550646.9256070474,1476596.0585603812,884542.0386121122
114,566577.4351448081,1416629.750190484,849381.5577014518
115,570438.0498096546,1447013.7427479757,852889.4966430726
116,574192.8884918586,1420055.0583496108,827016.8852642688
117,511680.87808107387,1364404.5171096781,834937.0533037602
118,416220.11745137,1354604.9738935386,807529.3915013415
119,342270.5424253511,1298985.311351607,798159.5458287754
120,312387.76383572386,1202959.6367070952,755973.9000340072
121,288678.90258828964,1153192.483087064,746158.8151949884
122,281725.5788308413,1182523.2962723658,750688.3927569845
123,280365.39432586357,1258735.184742578,766051.2896046028
124,291656.0081806601,1300787.1976803376,817706.8114741368
125,309245.26007475104,1359783.0776089341,867890.8731408555
126,360264.771588687,1494776.7503761747,926303.0612389209
127,418073.69250338327,1669948.2507416762,1011221.859047709
128,478263.6915546057,1751935.8452015414,1073284.9882760588
129,535793.7163994582,1887663.0153581118,1135804.837727018
130,542255.3837170759,1927668.9307125239,1157556.623143403
131,553995.047544222,1934678.5351177398,1168769.3520303722
132,514854.8134033205,1922998.665084125,1170281.0739740364
133,480185.0761076067,1731134.4362141108,1056726.5936793587
134,448078.072232474,1502874.5236552139,942664.1867644808
135,462037.6220861524,1340915.9838894312,831281.1205426926
136,505046.61468150845,1388101.3722987492,847199.9181419187
137,562115.9441305927,1416416.9117597048,858394.8464533432
138,627640.3368541738,1390503.9489192425,864358.5211532641
139,573092.3041707703,1373851.8563612818,840349.2475425128
140,540347.1853091466,1426244.7796717584,886909.9169886278
141,523936.404804028,1490166.7906743526,930048.0892795346
142,452981.8019681918,1548380.5027546883,956561.6069247295
143,399808.5871373636,1588803.967801271,1019019.9941865507
144,365782.12385203404,1610917.0660883738,1081614.2861499721
145,355000.5976703681,1719051.0086376488,1162605.3003211939
146,350703.1123422505,1825964.3686536278,1202193.4052772094
147,365250.8258754655,1981918.3572684834,1257940.6990972303
148,385890.00399515626,2063806.7237881722,1339514.3563489206
149,407775.8641712707,2165320.9377513467,1412509.9482068634
150,453134.1707718126,2323675.607240792,1475616.6851309955
151,512197.47820838256,2424406.356951217,1511732.785467416
152,585683.649403146,2536451.63503839,1579467.7646997378
153,602006.6679854231,2625419.1459677545,1634762.1217283155
154,600256.343025965,2705023.492555572,1681106.5599661984
155,640816.96508943,2743994.2454586,1726133.616060199
156,659391.6129849813,2793041.8442157065,1764396.8490960305
157,579199.9192968745,2501202.38343452,1630017.536317008
158,539678.0616992821,2366837.7476995424,1507779.340289445
159,546270.2160980188,2172776.1669965354,1395951.7928704058
160,580807.8251744842,2219280.4579370953,1400678.756139143
161,643827.9154595874,2234897.0778304716,1413468.3017564765
162,682997.7835650145,2225270.7501981757,1418243.036257454
163,664532.7161058224,2135151.039306295,1371317.7376372132
164,634752.7385700754,2116323.1836838555,1333911.3899915924
165,597481.4752873807,2176921.583076446,1382681.351711186
166,518279.71652729885,2194737.3472848814,1414128.5067231315
167,449206.717578671,2209189.7028825935,1434254.9984852858
168,415923.95432033343,2142082.0488685262,1440159.7588203931
169,393317.52385026915,2097099.6262070788,1426845.0292915872
170,387336.5103754912,2143167.298699634,1421133.3487269252
171,394056.2121786034,2262478.2985252724,1450478.645540167
172,414628.83782328345,2292686.931372338,1487064.6407335363
173,441185.15128240065,2371901.4110847353,1543090.4311798306
174,517501.0027504064,2527536.5831093397,1590565.2517282448
175,572571.8191660453,2593155.6299520154,1609015.1609705638
176,599663.4789436638,2621292.39833462,1658404.7882466798
177,602927.3943983947,2721114.975028307,1701827.9961234813
178,593207.2023374782,2794282.8869431242,1758668.046226717
179,583101.5063534917,2703850.044767218,1746486.33459648
180,607118.7635728844,2769862.7309656646,1764475.798405722
181,550056.2903536903,2525364.8272897303,1624640.8384110911
182,525939.1134136771,2300482.7932490767,1465351.1900447246
183,533624.0335439413,2102652.984656527,1366257.435505576
184,555296.7515582116,2202378.3153753364,1382359.6998758023
185,629474.1648067987,2295691.3672657353,1446529.165399126
186,701904.4790014206,2303423.5957154715,1456316.8753415414
187,647813.3475114477,2237360.7549624965,1380998.6789660077
188,626319.0287030349,2263879.676724549,1381201.9694459406
189,585831.0234512404,2300006.8360479553,1416004.75005423
190,525334.0115086441,2301768.3028745526,1429382.4010699387
191,434707.5734783689,2276200.211777321,1418049.6592295032
192,408493.9916782652,2196759.5903155208,1414594.8003392506
193,392078.73493069905,2186714.146081117,1417871.3118391093
194,385961.78615535423,2291252.924822447,1445942.883467618
195,404990.7428894508,2425350.58631528,1499251.9714393949
196,428601.5304923049,2485436.9712395845,1567604.7460555846
197,460141.383208792,2601131.5306415167,1635199.401624131
198,521112.2923183306,2785969.437444137,1717496.2659349442
199,597394.2839108204,2943784.7956667095,1769930.0368288453
200,614157.3609459943,3028985.1908430816,1850815.4182375984
201,624133.5675215723,3113193.386449758,1903486.3760087243
202,637619.848219354,3222874.19963031,2011254.5174290992
203,636682.357364992,3276101.8146473905,2057905.5576166331
204,630466.4410436201,3330860.2680854863,2110477.823712645
205,612677.9076824692,3216560.4104872094,2030596.6936496433
206,608768.0200126292,2975204.9003517292,1888104.9122867822
207,582433.9712957273,2751367.490817105,1763411.1186295361
208,640029.6312897888,2844475.92962244,1769152.4609225707
209,713668.6201266176,2850510.902920489,1783287.9295151955
210,743125.0460216539,2816246.1872186093,1788391.7566470369
211,729004.3995650115,2877002.8524593296,1791792.8947369205
212,702136.07197714,2985175.8292886657,1872167.7196736832
213,669404.9540046285,3046605.698064675,1936358.188742568
214,596695.3794487906,3122505.230816988,1986563.7272907058
215,542088.2846120797,3155591.447423241,2006826.9580682663
216,516663.04323448404,3110520.13872008,2022080.062627959
217,502106.45410039165,3170976.484946408,2067866.2598854725
218,505743.7491113498,3281632.192476179,2103538.933514103
219,519130.4027533862,3401387.1055132626,2146200.594495584
220,547678.8287675739,3454507.5604279093,2205865.615363395
221,575771.6613729026,3521797.876022936,2263754.4215244483
222,670077.8746120944,3663770.3564181076,2318045.4549895814
223,737547.4682536905,3755346.6724589346,2355413.8895330173
224,718936.0149540603,3789992.0253665666,2402794.66274034
225,718892.5538423373,3847857.7244257713,2419656.779579539
226,732574.2830535197,3886197.397543034,2466723.947001148
227,730689.0460079691,3881135.49585246,2497951.1198149235
228,706079.8646289669,3836160.883627235,2461135.145940333
229,631880.4686825481,3457043.7278730473,2244515.5599309593
230,613351.6731903219,3124500.482989186,2012889.091034353
231,623646.7544137614,2794554.8511168202,1823191.1466471609
232,647300.1896827247,2790839.7201642804,1727220.3997550712
233,698185.6994293241,2777124.43608679,1727155.825048925
234,725769.4886907376,2706178.7242963756,1698206.949668532
235,725941.2764082084,2777202.997204905,1708569.2072222014
236,686011.6079371793,2854376.8509571054,1773519.0765022044
237,669492.2762493087,2929385.4316910114,1837445.6740678963
238,606457.2108140397,2958568.635397403,1889466.8515352698
239,536296.1626576169,3002187.1225280534,1914374.043488553
240,500362.45671237685,2968872.314776945,1921021.822392646
241,483905.9862967633,2947467.017854866,1936283.1834473663
242,475252.5662595508,3036078.318407039,1959657.1616350387
243,488226.80903287494,3140211.7709388416,1993852.4566045627
