,Total electric load (kW),Total NG load (kW),Total fuel oil load (kW)
0,400821.4698152999,147049.45256283012,86701.04391720593
1,379547.90311543265,143775.4131089849,87333.67231638344
2,367205.76154836646,156430.98215884357,92660.7459228717
3,366401.74173666514,164797.99479919282,92276.48992094884
4,391306.54765544995,169627.4971075342,99119.8649358764
5,426411.71763183846,179662.85529552924,109817.77604458635
6,468316.055868717,204395.087172314,115919.75710209926
7,540886.6409894485,230210.62264332667,121096.0726434008
8,618139.8843680677,311555.90204448433,161149.64648711687
9,673794.1489987427,380041.54610223166,184736.29748793592
10,695409.6465502332,389594.05919466866,192279.56425760646
11,703934.9935942164,374689.9188242975,179287.19887272402
12,722045.4369313675,292118.9669185246,140168.53632307943
13,650348.6640246338,229776.19992455197,121290.02889604695
14,596353.5617838912,203086.68787288183,100682.60517241908
15,575416.6144145314,183836.85149593084,86967.10834992897
16,599800.6555291563,190039.31076851956,85815.1407358797
17,655942.3162143647,185852.06690275978,79561.45500086651
18,655726.5878865344,184479.61419053384,84121.76755241699
19,663893.0183152797,186929.2567340632,85578.41077023846
20,673368.6713420863,201767.59887357178,90351.06867243908
21,625462.6966533979,259964.84703359503,142253.6945411031
22,585831.0328472055,276503.3291955844,152854.2350397642
23,504269.4217518231,291749.1183738989,164213.96931652306
24,477876.7427593487,277307.80401539314,170030.3778004495
25,472061.0923828249,280732.5654052049,178366.4856928373
26,482076.8959749527,305789.89592129766,189476.9168218998
27,511318.313003141,338884.2711846531,198743.07060356264
28,529952.6821588811,357224.56069561257,208750.9124532529
29,579239.5387023205,378398.9968783521,217291.68000284425
30,683977.3405328621,415984.65058114275,228925.9057564563
31,771052.5445564702,461351.5404016425,239393.94739978208
32,800973.0369446396,474407.5623417423,251129.38087528537
33,824087.0920184071,494019.5401817588,264393.6019727753
34,827329.197941907,508445.17744550074,273372.4776003708
35,822880.2756810122,483916.77404919785,269548.08672267955
36,804739.0188481349,476985.49207790405,264027.5185842359
37,722757.2340033709,424725.20666043926,238364.53707801062
38,638382.5643006817,363687.1468392208,200967.68922414051
39,592223.5004818307,208952.80248388308,119411.9354746294
40,647507.0544484821,228288.3449212532,114001.34060098777
41,743855.2313182948,244063.2743582923,114370.95008647414
42,778274.3170472914,239521.80075743928,111876.84524577903
43,775586.0685316485,229643.54099606656,110543.6392487158
44,725423.0338619087,290396.99358491297,144663.49815252787
45,687620.6429918158,330964.86016256356,175263.16514890903
46,678357.5942609343,296894.76999936503,161043.70489654483
47,572850.1728584307,288530.22126815806,163609.10983150022
48,509565.72365811234,262131.38983834893,153712.13358690616
49,466736.37584039144,251296.32977602488,151867.76717694147
50,454263.5843712548,254327.0914465917,153635.17794300363
51,457994.56887376116,272553.964863764,153624.08754483453
52,465550.6314725,271094.90485634794,160528.62483536545
53,512833.99375696783,281535.55440453615,165955.08317164084
54,607446.2005616855,250506.27797166834,137022.0761793865
55,668944.333678147,265997.79288653104,133959.76507218697
56,661503.821497264,329017.39895205386,168498.45045121328
57,696120.3387065084,264416.1556669756,136148.04654730807
58,703222.640596656,267469.75153655204,141122.35360308818
59,707425.3817556658,267809.8490192417,142647.19892389214
60,713457.7045920022,266542.80665274034,149871.02251824643
61,701153.9568828552,257568.2787818906,146579.49956413946
62,657977.6004165992,247065.0617589864,136732.09662161017
63,656560.5006297252,247901.21378087637,133013.5230905864
64,722336.9409645158,274517.9038743159,132601.89547937005
65,762256.4217817652,278316.49582683813,128715.18857018356
66,774596.3438816626,262724.12146751385,124321.99157251805
67,748299.7990072382,233413.8028752713,117126.421317203
68,720158.1159608437,241081.29355776217,111102.04673532136
69,686958.0669913862,233602.4052209155,109371.17056529222
70,616536.7035447442,211214.02409236156,108735.217833761
71,523454.80565931514,188514.58322837405,105338.5297555697
72,460329.47588001273,166115.11230605823,98702.53272997435
73,422826.20613916963,153411.00791553938,91204.46281239529
74,404613.77933590644,150154.92791221917,89598.85703796336
75,402809.32491389936,151532.30172914022,86613.47446455772
76,423747.81585224497,155076.32974956004,89437.7027282865
77,449444.0427069892,176620.64588646672,96823.25009509479
78,544638.591491924,213551.82139110335,105841.07804171853
79,623685.7955364614,232783.93035763057,108754.10484922031
80,651449.8310191958,224750.57669812915,113524.19379965933
81,673155.3967267653,230434.80189256056,116125.84135591773
82,645832.7880765671,234938.67739126808,128799.79801692413
83,656590.3100085846,235052.29955840582,129307.04335118995
84,683442.7577736627,234038.78992147575,133878.60756303478
85,632891.1643651648,219033.94994085937,131299.4219836644
86,615446.471891845,209934.14021161024,118765.05500935293
87,604433.3469281005,214388.37615597,111373.56952280385
88,629018.275702598,219905.2821048427,107915.01757639773
89,696468.5331239526,237023.81684032385,104132.78886945151
90,702126.8435847774,229770.78720263188,97702.22001439077
91,696218.2948866385,216278.8032259701,92170.98513696496
92,672544.0489558603,221945.97956228562,91633.33856637245
93,624032.3419232621,191302.5905556937,95677.8775074698
94,604693.6088893779,198453.90823030737,99876.32076317428
95,517749.1941114948,196265.15981011407,106490.22984438634
96,472522.62832592457,175732.47310900132,111515.93676615306
97,460488.94408032537,172302.743392899,113978.18025521029
98,442719.4775646371,236329.1718016935,150571.95952006153
99,460010.24589584174,300147.2374885912,182749.6371094109
100,503059.7522948367,342220.4088936662,220910.15043468232
101,572126.9885392138,381584.72163102526,244786.15387815278
102,674320.7991375782,446024.17093095975,263673.0048763516
103,752320.0893226031,491652.9450404846,278887.24690162065
104,805417.1005582425,501678.82654274144,292165.8474067469
105,843645.2112371249,509194.0606863762,301650.4256662317
106,832991.0425923768,533261.0769484346,317443.22567238123
107,852937.0515994346,535671.2365045911,328976.36220089806
108,882389.2745020543,532564.1765158828,337675.4239530701
109,804486.4333647419,480836.48998894426,305601.6176665741
110,709558.6703355532,412612.8826023787,259464.6422143335
111,683870.2323629616,374670.79092818254,227752.13740728548
112,743208.8506563203,398939.04032514046,227648.4050609226
113,787573.939837918,417915.45628346776,229865.88537150627
114,849619.7606639412,426460.37586234044,233522.8619405965
115,836660.4238199198,412045.5558637878,240073.20223326658
116,839418.1825849187,407933.56928823947,247885.84676045892
117,818777.011997891,431255.48971285665,258682.29956928216
118,767632.070762501,438951.46901779744,267522.29648081074
119,685047.0584573498,422341.8064710071,274047.37938951555
120,628177.4551184746,396994.32557801565,266122.1179336927
121,589973.921543063,380378.70002903766,260805.48207449657
122,581727.7400259157,391168.3333051243,264358.69477200776
123,589623.2470294316,415482.06703620823,261301.26324217024
124,600514.0307336862,410490.63639962906,269393.1681893948
125,644873.0197859083,448334.19820865354,281451.92813277076
126,730148.6445851247,486383.2240198204,290287.9917857395
127,817572.4840612384,496472.3586959744,294910.0710772529
128,837713.5818284656,498741.61194739427,306822.33493274753
129,871452.0725776682,531675.8226601931,315475.33786354755
130,887815.8618993298,544143.2199323645,325249.03214751685
131,863552.0024465984,520136.4076359935,337925.45005149837
132,899853.755164903,544316.6044603734,346985.1885965663
133,882005.882468413,550516.1319314536,341046.9074430755
134,845614.583994714,518341.2949637607,325033.8185637017
135,807454.3738617633,484086.8609974343,295029.84971205954
136,861385.5506785061,504366.05138613575,286843.2254847063
137,915707.8777492611,481614.10734445084,282447.5141162782
138,939134.8984339545,468638.9449811233,275446.735356116
139,913273.4951570565,477154.74228614615,268510.7501757851
140,903124.1016110997,484696.9971856945,278953.9220078771
141,875088.6354398004,478590.3323354244,293376.9992605349
142,797860.8744503332,488038.3520748911,300397.51968787715
143,751667.5659776174,488990.37785477133,303941.5339051819
144,707363.9999724163,465259.8098916334,302401.0314101644
145,678315.9491052635,456239.32291553955,303766.054451898
146,679987.7586990274,476323.9261289194,312044.59240627283
147,708035.8856269959,513558.51731409924,319016.8073394095
148,742481.0891443999,535213.9275947395,340996.9196031927
149,787022.921009714,556853.8824238274,359748.35440245376
150,855069.7774637312,602780.3667542167,376327.14289478236
151,934801.596544967,658019.1361559068,389934.51971818256
152,1014296.9220123125,659525.5544664689,397049.38908335683
153,1103233.8358373023,711539.0786555727,412703.48980855336
154,1087475.078579622,712606.585602851,423627.2970949202
155,1071264.6187333004,710825.0389403399,429054.99395262456
156,1092999.5117029115,720109.7414537093,426645.8704611836
157,1066672.6417360036,684933.5310842777,421661.5159884851
158,1049155.4704903038,678738.1616086316,417480.93887349963
159,1061677.0739894586,678389.9363587152,409254.77299196227
160,1087443.1147496263,713216.4451245655,409115.1106739725
161,1123017.9809746277,676703.7337646567,408893.55028042727
162,1170874.8570127133,670758.6625974997,414600.89616687567
163,1136224.5413155723,646633.600669518,405693.9379644532
164,1089252.8667879463,650670.6437738859,410425.3233225101
165,1075035.3330085822,657546.1915497489,419039.2366678323
166,1017274.2078951164,679027.8263343746,418581.700436489
167,929335.0943509755,650545.0407501197,422494.2480216337
168,900550.4965621908,621788.587506706,418391.276425967
169,865958.2679057891,605241.3658988855,414231.48313910735
170,853679.8555418615,621593.2189222014,414168.6828318858
171,862284.7982681359,645035.5963645586,411960.02195199695
172,886308.7916322936,653872.213238699,423678.274273802
173,923320.9917387565,672352.7414451324,435378.595658553
174,997425.5736947525,713383.0811074332,450248.2195541082
175,1091206.0200295686,756550.7754449667,473062.44544157153
176,1212687.4299444014,810104.9163542911,493151.87396887114
177,1299675.1237869998,854497.3780284991,509698.15822732757
178,1298149.7416032802,890826.3629423073,526711.8898261192
179,1346542.2856371938,898597.5443324161,542915.5869279784
180,1325119.159999463,883376.7215915497,538555.2286888376
181,1192167.9817742554,779325.6440307572,489715.18679376284
182,1086653.3032348265,692149.556262444,436614.5299705356
183,976348.0751830018,603940.0960344914,385965.80223395803
184,1030836.0378858191,628148.7711160887,378093.3986502287
185,1077812.9896915904,613025.9922704218,375591.1446444284
186,1086298.4751471218,597157.7060462566,377214.3966406477
187,1080961.1831976546,582357.6497897654,365293.2631476147
188,1069274.4608856118,592457.7514874752,381693.0609059139
189,1042881.4510142196,626566.8234828373,396762.3227655161
190,1013306.9139747865,623256.3642980482,403356.4735860998
191,943422.9448673979,629932.2685842533,416507.8229439099
192,902610.4097525666,619262.6822479534,421250.67536239914
193,879095.6892370346,624146.6553697329,424894.71995628515
194,901126.831677709,652178.1880896952,434636.9606403014
195,929469.3121596406,686929.941803644,440662.5438344408
196,961005.1116275673,704773.1891043736,460644.8243027512
197,1029947.8773214055,742175.5051474753,481398.38943104236
198,1124640.0862766432,791913.206159703,495440.30456977664
199,1218526.502048061,832390.6392963855,507819.65507182165
200,1316727.0841200666,867017.4281955535,539585.0037680015
201,1339317.439338632,894242.7056322179,556376.9360054329
202,1363420.3621650366,922339.2817438219,573261.1271903699
203,1392462.869212394,945369.8416282353,585505.9334245153
204,1346854.998585439,930899.6104521024,575422.3240125303
205,1209621.1935443324,821079.2495170761,515169.5601916602
206,1068868.9032447208,703465.0963683764,445948.0713696228
207,988053.499374026,622058.6715277586,395302.6522158521
208,1039271.5714206125,626788.5776206327,382985.4965247117
209,1099750.2501634036,644577.2267246445,383145.0742347009
210,1117703.726250213,622596.0026469026,379676.0789486944
211,1116382.2876090205,635374.838239398,377613.77522078453
212,1104025.5452990406,621298.5775150172,385802.9179215769
213,1071502.4275338247,661012.5084888642,399460.98999147257
214,1018198.2830772392,671498.9229918235,415148.860927507
215,950934.3452606754,670216.6836054677,420879.85396438534
216,902900.1203232344,633817.1593458592,409648.87262912147
217,875263.7560591449,621324.101836254,402889.9735251577
218,871036.8178878796,641037.6029548942,405808.3769120922
219,883001.5359420122,667926.26117078,402837.4783702804
220,910643.8921567064,677945.4633574516,416742.1287058122
221,963599.9954014486,708785.696996233,436279.5691090906
222,1071921.7222681819,755170.1241617894,447019.3672352331
223,1156043.4979621938,771174.4218457583,455104.8223762534
224,1211133.620560292,792191.3529520964,476478.7071856539
225,1213176.0999254812,805168.3735423725,478149.25085148175
226,1225583.2433863583,823048.04057767,486904.6111361824
227,1198062.2790944315,812329.1536788503,489418.1660835935
228,1214777.999796978,792314.0573274987,477405.852888964
229,1054457.5330617104,689818.3753906095,414064.88540174445
230,927515.82471515,565662.7105776342,322082.77141382924
231,806111.3296219971,460874.4204996301,262825.89374439203
232,811568.0161658354,465166.55078328546,225571.6084784366
233,837345.9277689946,441638.25458143745,217395.0569929949
234,844067.8694186589,398375.71955472743,211315.89212093313
235,836713.0511175372,379988.24992966594,177847.87891211722
236,799671.3456860225,350727.8099477649,172831.97959453016
237,772330.4476662477,263984.9815126652,138016.59686128085
238,677228.4533733515,266344.04928792315,141048.47527574477
239,606648.5906261915,254048.95625717085,141569.88434402907
240,557414.5671324786,226595.23190187363,133190.491215754
241,514626.9697996322,207744.26072363902,126077.23525384853
242,494237.5319216869,211776.6504279018,126698.49259781186
243,491512.6632936143,216634.01489637012,124049.05289852824
244,490844.49196734297,222776.47748032544,126096.96418035205
245,526622.3353290248,231666.12652827625,131759.21415374972
246,602119.8270686028,265437.63075016777,131570.24017352416
247,704987.6963614124,287214.14055927465,127019.77195647059
248,678496.2788288237,256773.3476729242,119745.04522443768
249,639925.6975019521,233089.09990287447,116625.63192414024
250,637469.7220804162,245009.10962099707,119928.34102866298
251,641746.5604026602,233742.18234018612,119631.24020586461
252,658335.9905040094,224566.4215762366,120835.24301767563
253,597325.902935482,179626.86648538837,105321.22960742137
254,521342.0667993503,141403.2886822626,80121.4819971829
255,477886.7119874659,128544.94919114081,67422.216751748
256,504621.48633034906,138900.157942396,62289.73203662663
257,571168.4512570886,155414.90086366472,61359.00133226992
258,646351.4057126633,164533.1184198442,60987.23438608688
259,647844.2949122635,152338.20221102194,61112.72510963961
260,655345.8155879693,167170.5857487395,76490.80984362279
261,610861.4931422542,177972.52257100513,85463.62749574843
262,549888.3143038386,183687.62274958688,94895.28939687912
263,485922.39261117193,174604.8410405929,100560.19682016529
264,450515.1518852622,165548.2082280851,97447.22200024455
265,432286.0619271791,155967.52296063586,98208.91124196346
266,415584.33105926437,160601.185170887,97656.06779355831
267,406544.2903055544,163005.6589165081,98219.81988647129
268,419537.540274698,178796.6913716448,100105.53945616841
