,Total electric load (kW),Total NG load (kW),Total fuel oil load (kW)
0,679626.7113155907,343679.7797051415,219450.33943591715
1,611364.570828125,323887.79154987587,209499.9070098918
2,591072.0695932708,329714.523413925,207732.31323343975
3,598088.0602655264,348790.4856596025,203889.09458111777
4,618804.5770920172,344728.710929414,212111.11059435853
5,648819.1762406019,366125.8945256246,222487.64206588475
6,732523.5593772787,407298.67224470107,222318.09315774922
7,794900.3710888729,432150.5731529475,223459.93824115433
8,817636.2230776985,410916.9462028472,226515.23377664087
9,833622.4107470434,432854.7067402664,230480.60500045694
10,877587.5202038224,438654.38972050487,243413.27932252712
11,869686.2794552003,423039.74371744343,243777.0092023074
12,895517.4226897446,442567.3020314011,249138.6396286736
13,850306.9082940625,423175.8045992406,236983.7408250174
14,776316.4848568485,390357.69231698767,216503.78669030656
15,756681.7952082349,364127.4588869346,202688.05175055648
16,835844.1266771834,416933.2128296961,207675.34291236862
17,900164.2339084401,413910.3072896434,214844.65723746864
18,916591.6120914527,426473.16068378923,236965.81445025548
19,954207.2736487853,446626.9073741884,246300.28526388432
20,976254.3447360988,449850.4216346921,259792.6493790237
21,976736.3490376164,464879.97423018544,282384.7966960791
22,960674.181917978,489244.0335622336,305621.24865612073
23,905637.607104698,505543.2627107469,321281.48760282074
24,881702.7481609567,509382.0401519354,331181.46201211255
25,904837.4792718154,510326.3631045025,350208.0844736806
26,935463.9847957608,547546.5032271342,368017.7220419904
27,1017400.6161766357,607852.790059297,390095.31331196934
28,1080906.7324182598,646074.8342406224,418387.0910752321
29,1143382.305557255,684556.6072169112,443900.7616496147
30,1257083.4046579832,752665.7346647575,464821.93068485695
31,1393477.0244247203,789615.378925078,487583.6865577108
32,1457715.2175107298,810141.8114626486,501626.5079876862
33,1489042.2289429284,840174.8199903115,511793.6658853922
34,1509226.8919121518,845875.3313482411,526194.342002816
35,1486486.8957268766,843587.5839475285,534772.1531126157
36,1417229.4522494683,825411.487669573,521030.815783756
37,1254200.1445268334,722695.9425369737,458010.8230640404
38,1082992.5145282794,596347.7956213289,385547.90400086675
39,970152.1989552425,529726.678965702,338343.05826519395
40,1022366.9220225608,529080.9677978759,328078.88950675813
41,1094317.625206696,523667.9250030214,329334.19816322497
42,1114141.415923409,523071.36354113265,323106.75205915346
43,1127081.8411271803,542712.698688626,322908.45009874325
44,1117877.186014462,552664.2418931219,337330.4284471559
45,1108617.1160910868,566884.8171683024,356045.58209064376
46,1091794.466389154,580239.0996456923,374812.98620228894
47,1044844.5023592724,595590.985160411,385278.20363498037
48,1018384.3008589776,584218.1245950294,392011.92511778406
49,1028244.1182196847,595482.3855396628,403537.6930499837
50,1075540.8619136417,645453.6426450204,425313.5519320437
51,1154469.7328994076,715559.2169186382,450804.54375395615
52,1226049.7441390443,753694.259352935,481915.6493590906
53,1303252.070232538,817222.8681808545,510871.2069219136
54,1444175.4717449003,871356.7635532545,536777.9963978059
55,1603640.2310334821,934381.4948775927,560275.9306582011
56,1630343.135042951,937097.0484628754,574357.9371077018
57,1661341.9832934013,967938.7533471258,589963.785008193
58,1709025.0025208567,994877.0211299964,612436.8748116661
59,1713970.1255855246,987418.4873074649,625424.5368235823
60,1680728.06939793,989104.0293135736,618343.3456530585
61,1521323.8338039222,896899.4627159586,564506.3034422252
62,1332845.7976082515,746957.5731069432,485908.2066280185
63,1219501.8754950056,670382.8939082633,426012.4789520331
64,1203401.4673626802,638364.7467410231,397512.9934958341
65,1227940.4071343483,652211.339733619,392796.310200195
66,1228397.7656703051,632442.4928440072,382950.2324889907
67,1231397.994799086,628174.8309997912,381703.4901706312
68,1232828.466802108,633791.5635256845,391948.5030477506
69,1257066.874876014,658154.3744108354,410045.3048218783
70,1241878.0245782337,668284.4697877585,424506.6499963339
71,1166374.520207438,684327.6354171862,426767.12213948957
72,1094049.4156700885,650891.3892361218,420627.1692851602
73,1050697.545975185,636558.5972972438,413548.3449762
74,1030185.2420860253,636820.4441757079,410010.8660753526
75,1033538.4649908612,653244.4185383031,402472.57576927746
76,1042089.0660892671,645970.5373066879,413125.9754973818
77,1093536.19645207,671936.083326695,425900.2123687157
78,1162295.594116074,706539.1133330852,434484.12540065276
79,1271066.4588045205,744091.8571135766,442560.2891980094
80,1237890.4224893462,730589.4134006811,435132.82325116
81,1256399.4193808718,740951.1028449176,442556.0434625703
82,1273935.686388206,737238.9932287555,455940.95742676384
83,1219130.3810209623,693296.4788621356,445030.43015299103
84,1200863.4323163049,675209.9540900239,429974.0470929792
85,1030154.8566141233,585139.3733389451,370873.2699152868
86,885466.2999271817,482352.56908258493,307690.30626196094
87,815864.8699324782,443534.3868564305,270274.0441843988
88,843539.0838201406,458110.95518209145,265185.7788298919
89,928929.1405786559,453839.8375644098,263891.343879655
90,960026.8699469565,433797.4035697096,260550.17461194145
91,959516.3132730623,432256.2682882088,237522.3934836706
92,939775.3576289583,435116.9891916317,238382.83583405305
93,926639.6747295061,429692.15446865186,247265.1007260747
94,883555.7730182562,448124.4410804145,264326.315768119
95,818677.7159517575,452912.3405374617,268181.39028047194
96,755921.7441767418,402097.07779151876,262038.84005416965
97,727705.0072952254,402535.8726681802,283333.3581009723
98,728240.7758890502,417598.89221752365,288752.50385431305
99,756677.0647359968,449547.5535505834,296262.07286551094
100,778611.7146608911,459407.3539398302,311282.1159987623
101,838870.7158653972,488967.31070446764,323292.1999848217
102,922041.2480837497,531482.3391825128,330678.77314411313
103,987185.9081029951,545991.2112743543,337411.1843748849
104,991313.2863715907,555978.6409611854,331759.3387225334
105,1003184.4912764839,549665.869558491,336829.37850750267
106,1028069.382106253,560842.9458673144,342336.2925751836
107,1012240.6657033663,524895.315426445,347387.3162840683
108,972681.3766548394,524054.2341242261,334106.3245681256
109,920727.3026451132,280692.1270654213,167193.81395054885
110,801999.981066223,238562.8301087643,137856.68155724384
111,745205.8955982133,211238.25063551273,122047.80037435124
112,760388.0258152947,215785.08143618066,115684.96601698692
113,814119.6510783182,221138.81023157804,108299.847454524
114,835544.9840495085,227569.5544077887,107348.70217817705
115,861448.4438548503,224277.96732093982,112875.98798524907
116,880774.6996031589,370460.7272562447,195086.66573723374
117,860542.0253933643,381588.7098504199,216099.79022861514
118,807303.4740494979,393620.3933057541,229772.26785415813
119,768653.4847579582,406726.5961863672,242678.27046841534
120,753816.1189085853,405359.92022055696,245799.90445883857
121,740793.1744351457,407016.149739877,273539.45495331974
122,756142.3200130162,433495.48035557586,284476.69667862327
123,764378.4249382741,457363.7182116046,286359.8729145293
124,775266.307726909,454005.68192261254,274430.85214486613
125,811124.4938833148,468630.95207230456,283401.22372147045
126,855834.9415150161,496212.26881001925,286372.3267221089
127,904232.2300008432,515117.01723884844,286356.13836921734
128,970503.4200826794,532865.578323584,292546.6061719304
129,1041261.936367035,560493.753490792,305181.0747352551
130,1071790.9775704602,559774.4878538855,312136.19200637325
131,1090762.3118623795,573851.1028540552,318275.6325550015
132,1040818.33661407,561869.4089196967,313265.7784693437
133,961154.4926927874,529210.7251861293,290189.68948207854
134,910985.5085308772,271616.53066151764,158787.87913188327
135,854188.432018647,244516.69142459944,135394.7273107211
136,870853.6845567144,257335.98676429183,130392.63097760442
137,879435.2535972317,262231.46318374027,122944.14672142029
138,928603.608487549,225961.95672223557,116151.5770463996
139,885036.9092409358,217484.35421760392,111120.04148390613
140,840783.3760302039,291041.57137247105,158768.2478917768
141,819045.783751064,348624.7352222192,201102.38000837128
142,769216.1673640319,351466.6957991618,208622.98842794742
143,729665.621427641,361916.9142979649,215703.47377967896
144,690060.3859377317,348627.221203783,218815.68100950454
145,661824.9930454689,341788.9216444992,220784.8562606372
146,656182.8841638835,357773.9351856728,228360.88489098434
147,675067.5522103842,383771.40164962894,229370.5245267264
148,689609.4591452128,387327.3115014998,241425.4584796147
149,726422.5323181304,407226.2426694228,253150.63019852943
150,786592.1286217896,439647.69432220253,259322.59366004678
151,875292.3875275054,492332.2359899903,269260.0716320756
152,943393.5241695901,509574.1978641012,273260.6109296194
153,974644.8438059858,533353.5029894558,311311.4678183942
154,983494.6352832828,545248.9629779287,321455.368002077
155,1022574.5354059992,553990.0177183595,327813.7040885219
156,994965.615861671,550760.0860875626,320958.6628266467
157,928182.0483397292,293623.83382646163,188366.98190243344
158,817999.6581438667,241191.0055036751,134280.5544274095
159,780140.5411023067,213969.26546742956,114879.95873083624
160,798992.7652227991,219084.15422772238,112096.3640926077
161,845302.9745063465,223049.6199728105,109866.45513981293
162,891308.4258040601,244046.03316247888,111465.38554200814
163,848204.8732564629,359632.5765499394,200134.75462738806
164,895238.6955359111,372061.5795701137,199933.26704636772
165,914351.6792941367,414385.19324156985,229050.68962705828
166,858089.9785217193,412840.26831484016,240262.3555510834
