1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0.383,0.413,0.373,0.373,0.383,0.383,0.383,0.383,0.383,0.555,0.743,0.743,0.743,0.743,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.55,0.55,0.55,0.55,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.404,0.404,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.391,0.391,0.391,0.391,0.391,0.7,0.7,0.7,0.718,0.184,0.184,0.184,0.184
0.315,0.368,0.352,0.352,0.315,0.315,0.315,0.315,0.315,0.512,0.653,0.653,0.653,0.653,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.544,0.544,0.544,0.544,0.573,0.573,0.573,0.573,0.573,0.573,0.573,0.573,0.573,0.573,0.573,0.573,0.573,0.573,0.518,0.518,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.373,0.373,0.373,0.373,0.373,0.455,0.455,0.455,0.694,0.261,0.261,0.261,0.261
0.298,0.347,0.305,0.305,0.298,0.298,0.298,0.298,0.298,0.389,0.695,0.695,0.695,0.695,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.602,0.602,0.602,0.602,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.581,0.581,0.662,0.662,0.662,0.662,0.662,0.662,0.662,0.662,0.324,0.324,0.324,0.324,0.324,0.756,0.756,0.756,0.519,0.345,0.345,0.345,0.345
0.246,0.323,0.285,0.285,0.246,0.246,0.246,0.246,0.246,0.406,0.745,0.745,0.745,0.745,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.775,0.775,0.775,0.775,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.366,0.366,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.312,0.312,0.312,0.312,0.312,0.784,0.784,0.784,0.642,0.345,0.345,0.345,0.345
0.167,0.253,0.197,0.197,0.167,0.167,0.167,0.167,0.167,0.338,0.772,0.772,0.772,0.772,0.574,0.574,0.574,0.574,0.574,0.574,0.574,0.574,0.574,0.574,0.574,0.574,0.652,0.652,0.652,0.652,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.304,0.304,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.231,0.231,0.231,0.231,0.231,0.81,0.81,0.81,0.699,0.297,0.297,0.297,0.297
0.181,0.184,0.255,0.255,0.181,0.181,0.181,0.181,0.181,0.391,0.791,0.791,0.791,0.791,0.555,0.555,0.555,0.555,0.555,0.555,0.555,0.555,0.555,0.555,0.555,0.555,0.585,0.585,0.585,0.585,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.445,0.445,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.251,0.251,0.251,0.251,0.251,0.806,0.806,0.806,0.757,0.305,0.305,0.305,0.305
0.213,0.229,0.334,0.334,0.213,0.213,0.213,0.213,0.213,0.426,0.766,0.766,0.766,0.766,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.428,0.428,0.428,0.428,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.596,0.596,0.561,0.561,0.561,0.561,0.561,0.561,0.561,0.561,0.272,0.272,0.272,0.272,0.272,0.764,0.764,0.764,0.726,0.137,0.137,0.137,0.137
0.252,0.243,0.382,0.382,0.252,0.252,0.252,0.252,0.252,0.349,0.777,0.777,0.777,0.777,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.616,0.616,0.616,0.616,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.551,0.551,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.27,0.27,0.27,0.27,0.27,0.778,0.778,0.778,0.761,0.153,0.153,0.153,0.153
0.235,0.327,0.469,0.469,0.235,0.235,0.235,0.235,0.235,0.276,0.777,0.777,0.777,0.777,0.559,0.559,0.559,0.559,0.559,0.559,0.559,0.559,0.559,0.559,0.559,0.559,0.634,0.634,0.634,0.634,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.274,0.274,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.329,0.329,0.329,0.329,0.329,0.797,0.797,0.797,0.725,0.273,0.273,0.273,0.273
0.193,0.471,0.473,0.473,0.193,0.193,0.193,0.193,0.193,0.497,0.702,0.702,0.702,0.702,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.524,0.524,0.524,0.524,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.37,0.37,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.417,0.417,0.417,0.417,0.417,0.755,0.755,0.755,0.664,0.245,0.245,0.245,0.245
