node_id,type,Pmax,Pmin,GenFuelCost,GenIOB,GenIOC,ramp_30,count
31.0,wind,38.552,0.0,0.0,0.0,0.0,0.0,2.0
32.0,hydro,290.824,99.376546202,0.0,0.0,0.0,0.0,15.0
33.0,dfo,42.603,11.154981577000001,16.471,8.01688,0.0069665000000000005,21.3,2.0
33.0,hydro,28.308,11.3642974,0.0,0.0,0.0,0.0,8.0
33.0,other,54.55,0.0,0.0,0.0,0.0,0.0,1.0
33.0,solar,23.088,0.0,0.0,0.0,0.0,0.0,5.0
33.0,wind,10.0,0.0,0.0,0.0,0.0,0.0,1.0
35.0,hydro,37.778000000000006,9.99059112,0.0,0.0,0.0,0.0,10.0
35.0,solar,13.504999999999999,0.0,0.0,0.0,0.0,0.0,3.0
39.0,wind,105.0,0.0,0.0,0.0,0.0,0.0,2.0
40.0,dfo,21.938000000000002,6.2679439939999995,16.471,8.01688,0.006224,10.96,3.0
40.0,solar,12.415,0.0,0.0,0.0,0.0,0.0,3.0
41.0,dfo,40.938,18.58837141,16.471,8.01688,0.007059,20.47,1.0
41.0,hydro,14.882,6.462663631,0.0,0.0,0.0,0.0,3.0
41.0,solar,8.277,0.0,0.0,0.0,0.0,0.0,2.0
42.0,hydro,42.168,9.353286657,0.0,0.0,0.0,0.0,4.0
42.0,solar,8.712,0.0,0.0,0.0,0.0,0.0,2.0
44.0,hydro,18.367,6.915793547,0.0,0.0,0.0,0.0,4.0
44.0,ng,1023.534,426.0540529,6.385000000000001,4.92399,0.006806666666666667,403.38,3.0
44.0,solar,6.306,0.0,0.0,0.0,0.0,0.0,2.0
45.0,dfo,86.797,18.48743019,16.471,8.01688,0.022598,43.4,1.0
46.0,hydro,8.033999999999999,2.018302127,0.0,0.0,0.0,0.0,3.0
47.0,dfo,3.9,0.960222616,16.471,8.01688,0.00799,1.95,1.0
47.0,hydro,10.48,3.703264914,0.0,0.0,0.0,0.0,2.0
47.0,other,57.059,0.0,0.0,0.0,0.0,0.0,1.0
49.0,dfo,3.774,0.861684487,16.471,8.01688,0.007315,1.89,1.0
49.0,hydro,63.061,15.304419961999999,0.0,0.0,0.0,0.0,12.0
49.0,other,68.986,0.0,0.0,0.0,0.0,0.0,1.0
49.0,wind,107.279,0.0,0.0,0.0,0.0,0.0,1.0
50.0,other,38.894,0.0,0.0,0.0,0.0,0.0,1.0
50.0,wind,52.014,0.0,0.0,0.0,0.0,0.0,1.0
51.0,coal,459.2,189.18,6.550000000000001,8.01688,0.0155015,180.84,2.0
51.0,dfo,7.8,1.947700459,16.471,8.01688,0.008500500000000001,3.9,2.0
51.0,hydro,34.626,9.230623475,0.0,0.0,0.0,0.0,11.0
52.0,coal,100.0,28.58,7.4755,8.01688,0.009452499999999999,40.0,2.0
52.0,dfo,4.445,1.790458765,16.471,8.01688,0.005557,2.22,1.0
52.0,ng,784.4879999999999,186.09093667000002,5.786666666666666,4.84159,0.007279000000000001,356.07,3.0
52.0,other,36.34,0.0,0.0,0.0,0.0,0.0,1.0
53.0,dfo,12.928,2.546352248,16.471,8.01688,0.00621,6.46,1.0
53.0,hydro,79.509,25.933909449,0.0,0.0,0.0,0.0,6.0
53.0,wind,26.007,0.0,0.0,0.0,0.0,0.0,1.0
54.0,coal,1118.9279999999999,212.40156064,3.011333333333333,8.01688,0.022285666666666665,407.25,3.0
54.0,dfo,560.392,72.64475984,16.471,8.01688,0.024993,219.61,1.0
54.0,ng,788.288,270.83864906,7.211125,4.7030475,0.004967375,394.14,8.0
54.0,solar,4.435,0.0,0.0,0.0,0.0,0.0,1.0
54.0,wind,30.6,0.0,0.0,0.0,0.0,0.0,1.0
55.0,dfo,16.4,5.33,16.471,8.01688,0.006776,8.2,4.0
55.0,solar,5.766,0.0,0.0,0.0,0.0,0.0,2.0
55.0,wind,20.4,0.0,0.0,0.0,0.0,0.0,2.0
