line_num,from_node,to_node,is_existing,maxFlow,susceptance,length,from_lat,from_lon
62.0,2.0,3.0,0.0,2661.313965517241,244.06048334413785,13.873851767841558,42.33196,-71.020173
63.0,2.0,1.0,0.0,2661.313965517241,244.06048334413785,21.777389902423362,42.33196,-71.020173
64.0,3.0,2.0,0.0,2661.313965517241,244.06048334413785,13.873851767841558,42.169703,-71.179875
65.0,3.0,1.0,0.0,2661.313965517241,244.06048334413785,24.08865138129659,42.169703,-71.179875
66.0,4.0,54.0,0.0,2661.313965517241,244.06048334413785,10.663627546918883,41.748576,-71.087062
67.0,4.0,56.0,0.0,2661.313965517241,244.06048334413785,19.797031942420627,41.748576,-71.087062
68.0,5.0,4.0,0.0,2661.313965517241,244.06048334413785,24.2526499725851,41.987196,-70.741942
69.0,5.0,3.0,0.0,2661.313965517241,244.06048334413785,25.801290091171378,41.987196,-70.741942
70.0,6.0,5.0,0.0,2661.313965517241,244.06048334413785,30.305292350444738,41.798819,-70.211083
71.0,6.0,8.0,0.0,2661.313965517241,244.06048334413785,34.20748510482536,41.798819,-70.211083
72.0,7.0,8.0,0.0,2661.313965517241,244.06048334413785,29.561719867874782,41.380939,-70.701536
73.0,7.0,56.0,0.0,2661.313965517241,244.06048334413785,31.395673053152223,41.380939,-70.701536
74.0,8.0,7.0,0.0,2661.313965517241,244.06048334413785,29.561719867874782,41.305878,-70.14191
75.0,8.0,6.0,0.0,2661.313965517241,244.06048334413785,34.20748510482536,41.305878,-70.14191
76.0,9.0,1.0,0.0,2661.313965517241,244.06048334413785,30.13417189088121,42.311693,-71.940282
77.0,9.0,66.0,0.0,2661.313965517241,244.06048334413785,33.69084357907123,42.311693,-71.940282
78.0,10.0,11.0,0.0,2661.313965517241,244.06048334413785,14.102749012596588,42.136198,-72.635648
79.0,10.0,62.0,0.0,2661.313965517241,244.06048334413785,23.329966495428476,42.136198,-72.635648
80.0,11.0,10.0,0.0,2661.313965517241,244.06048334413785,14.102749012596588,42.339459,-72.663694
81.0,11.0,12.0,0.0,2661.313965517241,244.06048334413785,17.26180367705468,42.339459,-72.663694
82.0,12.0,11.0,0.0,2661.313965517241,244.06048334413785,17.26180367705468,42.583791,-72.591655
83.0,12.0,48.0,0.0,2661.313965517241,244.06048334413785,29.349725441593325,42.583791,-72.591655
84.0,13.0,11.0,0.0,2661.313965517241,244.06048334413785,28.27706065861806,42.375314,-73.213948
85.0,13.0,10.0,0.0,2661.313965517241,244.06048334413785,33.9354452829021,42.375314,-73.213948
86.0,14.0,17.0,0.0,2661.313965517241,244.06048334413785,59.99643790769113,46.727057,-68.64941
87.0,14.0,16.0,0.0,2661.313965517241,244.06048334413785,92.3056748177424,46.727057,-68.64941
88.0,15.0,18.0,0.0,2661.313965517241,244.06048334413785,46.621735037340976,44.967009,-67.609354
89.0,15.0,16.0,0.0,2661.313965517241,244.06048334413785,58.95876672935705,44.967009,-67.609354
90.0,16.0,17.0,0.0,2661.313965517241,244.06048334413785,42.35368011291203,45.390602,-68.657487
91.0,16.0,18.0,0.0,2661.313965517241,244.06048334413785,58.724311061821716,45.390602,-68.657487
92.0,17.0,16.0,0.0,2661.313965517241,244.06048334413785,42.35368011291203,45.917678,-69.104548
93.0,17.0,19.0,0.0,2661.313965517241,244.06048334413785,50.79715278399184,45.917678,-69.104548
94.0,18.0,20.0,0.0,2661.313965517241,244.06048334413785,38.19966181656657,44.564906,-68.370703
95.0,18.0,15.0,0.0,2661.313965517241,244.06048334413785,46.621735037340976,44.564906,-68.370703
96.0,19.0,21.0,0.0,2661.313965517241,244.06048334413785,43.417933744111295,45.507482,-69.97604
97.0,19.0,17.0,0.0,2661.313965517241,244.06048334413785,50.79715278399184,45.507482,-69.97604
98.0,20.0,24.0,0.0,2661.313965517241,244.06048334413785,31.5552306591653,44.505361,-69.139678
99.0,20.0,22.0,0.0,2661.313965517241,244.06048334413785,32.3810243411807,44.505361,-69.139678
100.0,21.0,25.0,0.0,2661.313965517241,244.06048334413785,35.986677540529,44.973012,-70.444727
101.0,21.0,19.0,0.0,2661.313965517241,244.06048334413785,43.417933744111295,44.973012,-70.444727
102.0,22.0,23.0,0.0,2661.313965517241,244.06048334413785,23.919883266530558,44.042045,-69.038515
103.0,22.0,20.0,0.0,2661.313965517241,244.06048334413785,32.3810243411807,44.042045,-69.038515
104.0,23.0,27.0,0.0,2661.313965517241,244.06048334413785,17.306524724550197,43.994265,-69.514029
105.0,23.0,22.0,0.0,2661.313965517241,244.06048334413785,23.919883266530558,43.994265,-69.514029
106.0,24.0,26.0,0.0,2661.313965517241,244.06048334413785,27.858998770194564,44.417012,-69.765764
107.0,24.0,20.0,0.0,2661.313965517241,244.06048334413785,31.5552306591653,44.417012,-69.765764
108.0,25.0,49.0,0.0,2661.313965517241,244.06048334413785,29.466484139666875,44.494585,-70.734688
109.0,25.0,26.0,0.0,2661.313965517241,244.06048334413785,34.52918319595685,44.494585,-70.734688
110.0,26.0,27.0,0.0,2661.313965517241,244.06048334413785,25.057993495415065,44.167681,-70.207435
111.0,26.0,28.0,0.0,2661.313965517241,244.06048334413785,25.554684031416585,44.167681,-70.207435
112.0,27.0,23.0,0.0,2661.313965517241,244.06048334413785,17.306524724550197,43.916694,-69.843994
113.0,27.0,26.0,0.0,2661.313965517241,244.06048334413785,25.057993495415065,43.916694,-69.843994
114.0,28.0,27.0,0.0,2661.313965517241,244.06048334413785,25.42145957718876,43.808348,-70.330375
115.0,28.0,26.0,0.0,2661.313965517241,244.06048334413785,25.554684031416585,43.808348,-70.330375
116.0,29.0,52.0,0.0,2661.313965517241,244.06048334413785,20.60673626158461,43.427239,-70.670402
117.0,29.0,28.0,0.0,2661.313965517241,244.06048334413785,31.354590879107352,43.427239,-70.670402
118.0,30.0,33.0,0.0,2661.313965517241,244.06048334413785,29.858817741864566,44.031248,-73.141581
119.0,30.0,41.0,0.0,2661.313965517241,244.06048334413785,31.348984876444042,44.031248,-73.141581
120.0,31.0,42.0,0.0,2661.313965517241,244.06048334413785,20.169507391557964,43.035325,-73.11146
121.0,31.0,40.0,0.0,2661.313965517241,244.06048334413785,37.83980107684057,43.035325,-73.11146
122.0,32.0,34.0,0.0,2661.313965517241,244.06048334413785,25.71003610393884,44.468791,-72.112168
123.0,32.0,39.0,0.0,2661.313965517241,244.06048334413785,25.76771283989078,44.468791,-72.112168
124.0,33.0,37.0,0.0,2661.313965517241,244.06048334413785,23.51307048923778,44.460676,-73.070525
125.0,33.0,36.0,0.0,2661.313965517241,244.06048334413785,26.14650715958439,44.460676,-73.070525
126.0,34.0,49.0,0.0,2661.313965517241,244.06048334413785,22.391372467670163,44.724021,-71.732736
127.0,34.0,32.0,0.0,2661.313965517241,244.06048334413785,25.71003610393884,44.724021,-71.732736
128.0,35.0,36.0,0.0,2661.313965517241,244.06048334413785,19.631337616947295,44.858964,-72.909402
129.0,35.0,37.0,0.0,2661.313965517241,244.06048334413785,22.116728092734256,44.858964,-72.909402
130.0,36.0,35.0,0.0,2661.313965517241,244.06048334413785,19.631337616947295,44.801788,-73.300758
131.0,36.0,33.0,0.0,2661.313965517241,244.06048334413785,26.14650715958439,44.801788,-73.300758
132.0,37.0,35.0,0.0,2661.313965517241,244.06048334413785,22.116728092734256,44.603504,-72.638356
133.0,37.0,41.0,0.0,2661.313965517241,244.06048334413785,22.73049573450701,44.603504,-72.638356
134.0,38.0,41.0,0.0,2661.313965517241,244.06048334413785,22.21917641595528,44.003392,-72.369687
135.0,38.0,50.0,0.0,2661.313965517241,244.06048334413785,26.831620377689323,44.003392,-72.369687
136.0,39.0,37.0,0.0,2661.313965517241,244.06048334413785,24.57187381962851,44.828442,-72.25163
137.0,39.0,32.0,0.0,2661.313965517241,244.06048334413785,25.76771283989078,44.828442,-72.25163
138.0,40.0,43.0,0.0,2661.313965517241,244.06048334413785,22.42201103090721,43.580844,-73.038196
139.0,40.0,30.0,0.0,2661.313965517241,244.06048334413785,31.522430588909977,43.580844,-73.038196
140.0,41.0,38.0,0.0,2661.313965517241,244.06048334413785,22.21917641595528,44.274953,-72.609475
141.0,41.0,37.0,0.0,2661.313965517241,244.06048334413785,22.73049573450701,44.274953,-72.609475
142.0,42.0,31.0,0.0,2661.313965517241,244.06048334413785,20.169507391557964,42.999143,-72.716335
143.0,42.0,48.0,0.0,2661.313965517241,244.06048334413785,24.271681574093734,42.999143,-72.716335
144.0,43.0,40.0,0.0,2661.313965517241,244.06048334413785,22.42201103090721,43.588143,-72.591515
145.0,43.0,53.0,0.0,2661.313965517241,244.06048334413785,24.29919331538278,43.588143,-72.591515
146.0,44.0,48.0,0.0,2661.313965517241,244.06048334413785,26.658290065839306,42.911643,-71.723101
147.0,44.0,51.0,0.0,2661.313965517241,244.06048334413785,26.861239199169553,42.911643,-71.723101
148.0,45.0,52.0,0.0,2661.313965517241,244.06048334413785,21.217256863644025,42.98936,-71.099437
149.0,45.0,0.0,0.0,2661.313965517241,244.06048334413785,26.727693318069367,42.98936,-71.099437
150.0,46.0,51.0,0.0,2661.313965517241,244.06048334413785,19.8565910571271,43.519109,-71.425366
151.0,46.0,52.0,0.0,2661.313965517241,244.06048334413785,25.049567833958243,43.519109,-71.425366
152.0,47.0,46.0,0.0,2661.313965517241,244.06048334413785,26.538823488280325,43.867567,-71.201665
153.0,47.0,50.0,0.0,2661.313965517241,244.06048334413785,32.23881540596102,43.867567,-71.201665
154.0,48.0,42.0,0.0,2661.313965517241,244.06048334413785,24.271681574093734,42.925455,-72.248217
155.0,48.0,44.0,0.0,2661.313965517241,244.06048334413785,26.658290065839306,42.925455,-72.248217
156.0,49.0,34.0,0.0,2661.313965517241,244.06048334413785,22.391372467670163,44.652419,-71.289383
157.0,49.0,25.0,0.0,2661.313965517241,244.06048334413785,29.466484139666875,44.652419,-71.289383
