,Total electric load (kW),Total NG load (kW),Total fuel oil load (kW)
0,1112191.8315777716,888238.024609414,362431.1282031843
1,1061938.4495372756,928676.0747817947,373782.46249745414
2,1076737.2770294563,954091.932741988,403441.95395454165
3,1109778.1507990276,1016884.7716370615,415135.21282378555
4,1191555.9109860063,1062175.7041070904,445688.4273151863
5,1331159.3565818078,1162308.8867989427,501630.3893321413
6,1486296.24416191,1201067.177273252,523690.07710586727
7,1636724.9856320203,1295848.6826779547,496572.9878060302
8,1676128.283508637,1262139.159293387,505782.6189858168
9,1745565.573988859,1306052.183143094,501793.1914101915
10,1802978.6266567335,1382075.6722687671,527196.2046493638
11,1772394.8257611627,1382503.5391631604,532906.0146995059
12,1773428.7018327736,1406366.3934583627,538994.5189993872
13,1632915.3610711207,1228482.6809124474,492816.9473117219
14,1403835.9492798331,1103032.8039185626,400512.84480039944
15,1390725.6401940524,1005331.4710081631,404149.037943102
16,1487561.9328829523,1016449.2052397012,413522.035867256
17,1627135.310684608,1058274.3559682341,416456.4138564231
18,1703932.849655376,1015464.0132963798,412285.3030125235
19,1662230.6880468405,1007471.1942798194,402391.02833522484
20,1606805.2846496494,1031853.520859154,397130.2579912948
21,1553857.9655469356,1016173.3743592198,405262.8466955708
22,1519743.3187820264,1014959.5876521632,417002.89540215716
23,1371946.2757788957,1061320.6831930494,432015.4782815818
24,1256185.8924054343,1040699.5218112959,432528.45359075244
25,1208455.1927960145,993321.5029559175,425020.89301255776
26,1191357.35408432,1005546.9611640233,434147.03239512356
27,1227854.97461434,1061241.0868425851,446817.68804572173
28,1310157.2610882423,1130287.710151362,479003.43034176354
29,1429569.2310367287,1223034.0771799807,535971.8940520651
30,1571466.4923210766,1271997.2537630955,565431.6969634853
31,1705292.3974595983,1322050.9008484366,528670.122284948
32,1771465.838911051,1342840.2089108906,536201.1241808697
33,1769429.2819106649,1374759.7763620145,536903.2167800749
34,1778752.6413947092,1414463.2375790854,555058.0271393266
35,1776040.0761881245,1377656.16894149,557850.2805125868
36,1811863.95052681,1454318.8938533047,566704.2958934393
37,1763578.190080485,1415076.3287129821,568004.2784999082
38,1683047.9048018763,1374272.1631888936,524931.46570926
39,1740985.4286940095,1389417.6699556534,573821.0905620748
40,1900772.4347700519,1433512.7255069644,600501.764702739
41,1975659.6553460264,1475057.9317955682,604817.8980139295
42,2052996.670630051,1427152.0877788067,604083.1908716267
43,2049222.0599441058,1430413.378869582,610833.7932708578
44,1960633.606561531,1380225.6574690873,576009.523785509
45,1941759.7831976719,1463616.189368957,591414.0822093247
46,1855993.9442958806,1461846.2250904813,607065.9457871023
47,1719151.4428265474,1491808.1452387942,618518.8226291668
48,1647556.9661506834,1459204.6561090413,628848.3734999304
49,1610827.9812998453,1458813.4974222945,624408.9117849881
50,1646964.68415179,1520891.8090802794,651346.7770642209
51,1741789.9008615385,1639921.2023275793,681215.9215058064
52,1867680.1473860545,1754045.032280857,737664.0652779618
53,2044237.3588566263,1866447.3006162192,809185.1277055021
54,2261542.284122213,1998918.0681682331,852871.6681573557
55,2420786.071339539,2128649.6266217823,825564.9424372764
56,2486003.6485276315,2111328.1275242423,853997.2903546803
57,2511125.95207561,2214684.5872841035,856161.0661274731
58,2543044.552433951,2221806.4110326287,888688.504410265
59,2528155.764026026,2166981.1679067514,882051.7384038303
60,2537730.991347298,2244701.084872681,900567.2382370381
61,2461843.511529689,2175466.535033994,891420.0680057934
62,2395909.510416326,2071278.2808434414,824874.7643954896
63,2268407.1990681966,1879118.6077704318,796460.2134149809
64,2329158.718099948,1849815.638589974,777651.1105487569
