,Total electric load (kW),Total NG load (kW),Total fuel oil load (kW)
0,390378.80948107224,942338.8340390855,690916.1958059861
1,361426.02035925613,964966.8376910028,669744.3499218777
2,354606.14420066506,987686.927300879,681578.4671420619
3,334074.2156177391,954986.015049861,698312.9212624636
4,344032.9155472988,1006462.1791926945,765593.4410509084
5,397304.0058908198,1205752.0504033878,776489.9973858823
6,494040.3538636706,1289457.1555534236,796171.1737953419
7,548312.1653888718,1257995.6610715406,801172.8505875716
8,568955.9497867797,1248598.0573645749,838629.6277542462
9,622491.5915795553,1266977.24673008,829588.5035345531
10,604913.4812532592,1318551.0185387426,815820.5863392211
11,629428.6669330176,1376863.718335519,841640.7500562998
12,593047.3073290704,1341661.0964778953,792061.8690054741
13,590289.9235640487,1233021.6568136364,777083.139455869
14,525335.7388073754,1120607.4114074414,677625.8907015028
15,530792.9066208756,976153.0978562341,570726.558237593
16,613846.2419221643,1075472.6530641925,584581.0368769134
17,716912.8245322744,1130651.0764933007,653212.9331345599
18,805929.4123740332,1234860.9372372131,716959.2785635123
19,775478.6174382771,1267768.325900428,735797.2272420328
20,717180.8684758316,1227002.1790910943,802887.2809825543
21,666239.1663577836,1295517.6042154452,818014.3920395143
22,585487.9632878236,1439062.6558322082,880927.8267040066
23,487514.3718126777,1462112.0069761798,927112.5189415013
24,430822.4894274835,1469633.0845988735,969166.5227939112
25,420644.0575961702,1478418.8258325725,987260.7513778162
26,423270.06284673186,1572896.673497472,1028115.5811960617
27,416895.52252964105,1652897.0957983865,1127767.4089153633
28,415109.97550938616,1683573.3947292184,1205275.9335030215
29,463847.64753208106,2027996.4036132672,1226513.380534998
30,570522.162569707,2234016.7758151903,1293879.410268028
31,642434.1133832755,2205080.7144854823,1396672.0995157252
32,645508.7412287167,2398708.6598569523,1498619.080629855
33,681556.5117285621,2651405.310929691,1578387.5872301469
34,721843.925927808,2823783.909081958,1625093.0971568648
35,709920.1018886454,2908226.961447701,1659850.2301040092
36,722628.73763769,3016170.1401895816,1705340.1150019292
37,684462.3931593242,2988368.9810003038,1737324.6542690212
38,661863.7805241884,2961770.4819054767,1698779.9069082208
39,648587.0293441194,2880866.4515845613,1578257.60470306
40,753987.4191241236,2888012.976573757,1590685.2166838038
41,820336.8466505115,2939903.317598429,1672522.890222206
42,873012.5617490956,2927048.758008086,1663318.109682873
43,871017.5528806659,2792837.9399125194,1573679.5254087385
44,804096.166250685,2504880.204022301,1536077.9248049716
45,718399.4303986849,2464882.687198833,1495750.17122215
46,645157.811508858,2415819.454018582,1458887.8679806085
47,515834.884905043,2300915.7298490736,1405457.5967788277
48,450848.2486793262,2113578.779164311,1357632.8633850887
49,419089.63579176925,2001261.1355024313,1299656.804920714
50,407360.9562359682,1981943.4196813412,1271626.6711134429
51,393165.4696953661,1890750.2922710578,1278338.2169592516
52,402086.47667384025,1939091.2876600812,1346187.868491898
53,431316.3357497355,2220142.3739901492,1318738.0318493492
54,554389.9242752584,2328135.520721939,1364985.51283589
55,602021.5598154028,2189710.694364996,1418964.407568842
56,635067.5204098584,2248527.2666940736,1418045.030198007
57,673440.8321709686,2308799.3414684325,1394553.8572003245
58,682983.2908512445,2362377.14795768,1375540.4670130457
59,661389.3566779308,2397757.565414801,1398555.2235780493
