,Total electric load (kW),Total NG load (kW),Total fuel oil load (kW)
0,556642.203104458,758396.1736452929,558131.9435954362
1,527119.7801901471,735043.5906832569,512727.8660130152
2,523211.64326413214,760004.4175537674,525409.6700457758
3,510118.46466077503,749627.4409053664,560948.9542427652
4,523507.06560963317,799789.2776077392,632853.280279042
5,590734.9170521693,927089.4163411161,641559.7753018233
6,699466.8516102593,1014509.4456185276,668740.4291809428
7,779343.0893527563,1057972.6296542815,711111.8066256664
8,806160.3352302075,1241692.3515470466,816347.4501387551
9,858914.4509814266,1319752.1973992803,836337.3889889377
10,845523.7385136037,1397536.6987893619,844253.6649029728
11,892653.0459142873,1490190.8577674038,885033.7454359034
12,867851.984847487,1515649.3379098019,864946.1462470196
13,842093.5236735765,1356725.7232852483,807169.5327780425
14,742019.3916379745,1201952.1068935099,687832.1773072225
15,721703.2263385109,1066993.8210983602,592380.8268045674
16,797591.833613443,1122033.6409212204,585316.7290710084
17,899654.4545464141,1110284.5299485582,630709.4405803867
18,976407.3203553207,1124988.1481770491,634264.7247431981
19,956153.037023883,1103065.4883836145,630685.809648925
20,897430.1996934864,1056358.6447656658,676415.2027374441
21,842163.085519115,1103036.792894652,694638.507923514
22,757005.6379867895,1141177.3657187228,716962.8624970074
23,669138.8094408734,1162623.6521241392,734752.7512171825
24,605771.710199197,1079844.55983761,730791.5330961439
25,579459.5405725088,1034589.0044510793,703422.5472571633
26,597266.1450047618,967635.1131802518,672781.9230971903
27,596072.448825957,954174.6969940714,719230.2741811599
28,606481.5259326418,995363.4638176099,780135.3093994434
29,657593.3259437948,1157444.0130841525,786810.2861487799
30,761332.249139378,1249931.295255555,805916.1607656074
31,846678.9585937236,1222698.675775034,840888.6887391007
32,870305.369173516,1266759.4385528225,875277.7623550659
33,904141.0851061258,1367222.1446193298,885928.5926409345
34,948275.2492821065,1432681.7004446755,913580.656306876
35,904102.2136302105,1682617.2127225185,986310.5575926785
36,924648.5606899014,1761348.1024539096,1017109.6980244952
37,898656.3468167109,1810712.539468699,1059278.9855852232
38,879505.5430137251,1850568.615859924,1049516.9905363682
39,884316.5830672783,1851099.439712546,1005794.0395579959
40,991504.4991875517,1899904.7940609118,1028926.7064961991
41,1075714.1322015969,1930018.0963105864,1078662.8605988738
42,1117764.4805646553,1937886.679025074,1083191.2470761905
43,1122985.524517331,1933509.9301682408,1073484.986763917
44,1057232.6333712563,1779143.5883765249,1071336.9543792056
45,997527.298792931,1909881.3361330668,1129870.3084584589
46,961812.1104600596,2059563.8245625368,1207876.8636506354
47,873188.8676992003,2142005.8288875897,1264730.051696064
48,821323.4920353085,2122685.9822350647,1304889.9913688258
49,805375.3873232062,2153189.4514328246,1313547.3757491736
50,814526.4597931241,2249383.279476167,1351530.1625354667
51,825582.1515994506,2369955.4218537556,1453051.0793303817
52,876589.4422118466,2515794.4524515215,1572628.4279862698
53,942832.712607393,2869746.338160137,1615528.8436105195
54,1077672.3753657176,3006887.014615158,1700588.058470881
55,1160157.03806234,2986086.0850392035,1764159.5265496615
56,1175812.312811896,2935844.5043202946,1744025.380787436
57,1229035.924003344,3036119.981675224,1756598.5394711508
58,1224927.9872709468,3123689.406556979,1740446.889564435
59,1218578.801508701,3165520.827747583,1754011.072462507
60,1240197.9395060013,3235640.659680589,1744411.7910172932
61,1194993.5587385464,3067591.5239548334,1717728.025705519
62,1150059.6610106183,2857614.389511256,1576598.3396154991
