,Total electric load (kW),Total NG load (kW),Total fuel oil load (kW)
0,406854.76612359047,572769.824545967,448244.0966644295
1,387808.6958622451,548475.1708418977,434708.3861283689
2,370259.40841208963,535071.2745985495,443658.9973964923
3,375763.14219782496,538465.663618258,455637.4626683235
4,395411.20825022715,591680.9784463177,473520.497621338
5,429007.6759139154,660977.0623890175,504317.2076855357
6,518960.93687915755,723874.4570496236,555885.7618668854
7,568269.407050784,751776.2833042584,579085.2164895211
8,615852.7242463992,825851.0148116312,618527.9625476617
9,632261.677330211,872412.3583599007,643527.6273756112
10,654512.8342709839,916493.3044600788,654909.3446903597
11,671373.3273707423,921601.5140449088,668431.228071311
12,639922.1620926405,910821.3682334512,660543.6108805395
13,601049.583937775,822463.1250321717,597001.147020701
14,557128.7391239608,770752.2014049452,559202.4104682988
15,533337.0611002462,700381.5528502156,511032.5432178437
16,591918.9369973593,715055.2670851445,510867.70353366475
17,656032.0856676577,748718.5192863147,537618.1857804806
18,671372.0492925973,723413.6210730602,532291.7725143583
19,688077.2728101256,718606.5149222917,538832.0723154336
20,703767.0720970469,732124.8725506138,562769.1769789291
21,653370.0850025227,753160.0663907425,571033.7389888392
22,583941.0183698272,795758.9690844028,585938.8639760554
23,498059.72899063013,730161.7849680498,544889.598910565
24,455419.22538770206,717580.0428462845,544581.2229461845
25,428173.14297956263,674618.832050442,534369.5194021981
26,414630.1545452577,670533.9647952839,535301.1187544217
27,434873.319969634,667068.7044050297,555862.135216403
28,450301.2714200738,742246.4634317763,575039.9281899089
29,472557.650082037,783835.5316085147,604223.8135783713
30,548370.5474595864,827953.6308627913,640613.2909259243
31,611069.4454959971,874572.9414308975,676468.9178891452
32,621527.768797499,914280.3292261786,678288.5167584002
33,653279.8826278585,951672.2662570567,685865.5787125371
34,680662.0744143315,963605.6327705528,684700.6765330681
35,671735.6623187417,972561.5414316298,683907.6665026731
36,636362.4966962924,935034.2302133604,668123.2521285852
37,561821.3119913473,774132.5585204588,560023.1762701337
38,621397.9597273405,392894.6030927018,287511.09084806475
39,573324.6975216593,323702.95734142995,207316.3492423132
40,616607.8893819631,307381.43826639064,199681.03473446326
41,659891.1397900451,314233.71221185423,196503.73053498557
42,708875.3006118826,296773.4257509235,192379.6379784626
43,695460.1087174036,292472.94806261035,198338.9335074235
44,682106.4047045062,305511.3487685424,215374.75690839152
45,643517.594521102,325794.6488163432,215753.7220217768
46,597261.490340458,334752.0832118697,223757.957357121
47,521690.4738147495,309185.522165033,214799.081873797
48,488066.44910512783,300215.25563778967,219473.28757269867
49,463304.09211542096,273360.7211289903,207985.4716601043
50,424363.9111964156,267950.502804455,209625.80461700607
51,434341.1389748865,267442.88680565974,216013.12992902886
52,458794.38449248206,290229.4882470204,219205.46041115824
53,516685.33886282006,326415.37230204645,225881.30563365266
54,555715.0588038096,335413.1104022855,241368.13022484427
55,592339.5697417147,342249.9314740388,235770.1613031505
56,632231.7284032683,404698.7668367952,286607.69650836696
57,639121.9253368353,396110.9851299432,284829.37262471474
58,652911.4408500369,411064.39251635934,289868.58131071617
59,677872.7804400449,371769.83521133894,258129.07589670806
60,666609.4890105656,354957.8401216927,248661.73706063736
61,603248.1060787189,332633.2135018093,223144.09317900462
62,567582.6355466922,299937.20244843094,207414.7446168323
63,559528.1464818681,283986.67655551434,184043.8367951802
64,602719.3792208002,279430.2770641636,186721.8902550396
65,640032.1165824468,304454.78325254057,181228.51440477918
66,662441.1055850073,280966.6162640435,181506.3989323701
67,660206.642957366,262189.2581042291,178816.40094612222
68,650048.8226219735,276382.57500438695,184631.1926196434
69,606792.7329273393,291690.53967188846,182647.06867777486
70,556799.507014404,291755.475799966,186939.03761891776
71,479075.86346387723,256921.88968344775,179761.02343698993
72,440194.1235302152,247489.43698520155,180229.44612323443
73,413882.47131662833,236002.25155246578,177847.04534002522
74,393777.8897790636,227075.04467613276,181659.93982594094
75,405428.9454615544,231485.97360957327,191520.8396993048
76,424926.0046059766,253429.42081208233,193482.144265264
77,462509.4598161325,289004.62145763217,205964.48666198982
78,532635.3665423751,316647.801988523,230909.6206059008
79,591858.1636429452,321429.72757778945,227740.16911080232
80,615351.212651816,344363.01025570685,238866.25130728862
81,648457.0764706297,352864.5811936045,236957.61095498723
82,651869.6274758811,379863.7283150693,244830.33669918068
83,663480.4683265389,392732.1320296499,246549.48044462525
84,651413.963427876,373778.0948980916,244476.1606279082
85,616241.6536446918,346414.51815974165,233075.4565924109
86,619757.4965512685,339681.196279245,227126.53172899148
87,611996.7157533526,329084.00827302324,224833.41136803487
88,657989.2821441306,344919.7570257067,228136.05440785983
89,699393.3510611734,356144.79086823174,225869.3882083973
90,721698.1683468379,341373.3406997117,222544.65238053325
91,717735.4178846354,317469.4706314017,216158.41198422862
92,700402.8366288327,311158.86256403296,223891.7129830124
93,654414.1677039318,355873.12060242065,258536.4840267029
94,586182.074548058,369571.6516505594,256271.6736771602
95,508033.9787342573,334513.6422934473,252929.78739986493
96,469585.77306731907,322585.864868467,257149.19658479787
97,448894.93730403495,322046.05257117696,254407.77079307224
98,437437.1537520483,323294.56738075835,265690.7523899782
99,451765.3924848145,345853.1589673042,286864.65589275217
100,490066.0422459507,392127.4689431865,306290.6301173415
101,534596.9329347345,444164.03512978624,326990.0490641803
102,490168.39633036393,716620.335493314,554967.9309662777
103,563267.8580945398,754185.7713090506,587230.9819065855
104,596911.7388839582,813049.1901553187,613533.3432327969
105,608801.0648712077,859511.8007437247,635840.2593717315
106,620429.7096984485,896393.8162898824,647370.0094554279
107,639522.9590095386,916225.8427324716,656101.1654937761
108,646010.2642196132,946347.6689122563,676050.0636768384
109,627810.0491530043,910047.1938956515,647979.3506356673
110,582684.0552070781,810430.3425265482,598918.0917436001
111,565996.1576798975,767014.6976399241,560186.8241698057
112,618064.825508735,809293.3791627155,583725.7186961039
113,785098.0475940182,570146.9252558663,382603.88443249714
114,697972.9644642455,773441.4560107733,581320.4356279465
115,696708.003040726,738181.115735475,574980.2852468807
116,674756.79484465,740707.6379682033,594425.0550627916
117,643973.7715907838,810288.1274627005,605424.4773883832
118,586293.041662965,850289.0988618147,623117.5904801991
119,517391.9652258139,811557.6835875575,602106.6647099756
120,488239.0868664462,798314.2632696546,614162.7682331683
121,468929.9309788837,771820.3627001311,604577.0109053545
